,EPIC,CAMPAIGN_x,Prot,err_Prot,PMETHOD,PFLAG,Rper(%),err_Rper,SPH(ppm),Sflat(ppm),N_Flares,Nflare/day,CAMPAIGN_y,KP(mag),Abs_Mk,e_Abs_Mk,Radius(Rsun),e_Radius(Rsun),Mass(Msun),e_Mass(Sun),Teff(K),e_Teff(K),log(Luminosity(Lsun)),err_log(Luminosity(Lsun)),dist(pc),e_dist(pc),SpT
142,201237257,C1,31.69,0.763,ACF,Y,2.523,0.067,7330.47,83,3,0.037,C1,"10,59","4,88","0,06","0,63","0,02",0.65,"0,02",3866,87,"-1,06","0,03","33,9",1,M0.0
171,247640857,C13,27.583,1.025,ACF,Y,0.506,0.077,1503.78,58.73,0,---,C13,"11,45","4,88","0,06","0,63","0,02",0.65,"0,02",3862,93,"-1,06","0,03","52,1","1,6",M0.0
189,211006744,C4,24.414,1.165,LS,?,0.63,0.204,2665.03,81.76,0,---,C4,"13,27","4,91","0,1","0,63","0,03",0.65,"0,02",3837,89,"-1,07","0,04","69,1","3,3",M0.0
192,242219524,C11,23.946,0.221,ACF,Y,0.64,0.241,1631.2,42.36,1,0.014,C11,"10,72","4,92","0,04","0,63","0,02",0.65,"0,01",3864,82,"-1,08","0,02","29,4","0,7",M0.0
224,211630934,C16,19.524,0.294,LS,Y,0.288,0.04,869.23,32.52,0,---,C16,"10,38","4,93","0,06","0,62","0,02",0.65,"0,02",3840,83,"-1,08","0,03","30,3","0,9",M0.0
228,247725508,C13,19.034,0.193,LS,Y,0.446,0.312,1419.88,73.17,1,0.013,C13,"11,97","4,89","0,05","0,63","0,02",0.65,"0,01",3896,81,"-1,06","0,03","65,8","1,7",M0.0
230,202059193,C0,19.012,1.046,LS,?,0.403,0.071,1161.41,111.35,0,---,C0,"12,5","4,93","0,06","0,63","0,02",0.65,"0,02",3834,82,"-1,08","0,03","57,1","1,7",M0.0
276,246732310,C13,12.933,0.047,LS,Y,3.944,0.149,12737.03,167.02,28,0.352,C13,"11,05","4,92","0,09","0,63","0,02",0.65,"0,02",3858,89,"-1,08","0,04","40,6","1,8",M0.0
291,211889233,C16,10.823,0.065,LS,Y,4.19,0.457,11751.77,206.19,5,0.064,C18,"11,59","4,91","0,05","0,63","0,02",0.65,"0,01",3883,81,"-1,07","0,03",53,"1,3",M0.0
292,211889233,C18,10.699,0.05,LS,Y,1.926,0.16,5984.82,205.97,4,0.081,C18,"11,59","4,91","0,05","0,63","0,02",0.65,"0,01",3883,81,"-1,07","0,03",53,"1,3",M0.0
293,211889233,C5,10.517,0.056,LS,Y,1.742,0.515,5339.64,192.7,9,0.122,C18,"11,59","4,91","0,05","0,63","0,02",0.65,"0,01",3883,81,"-1,07","0,03",53,"1,3",M0.0
294,246931087,C13,10.809,0.139,LS,Y,1.81,0.406,5246.94,122.14,12,0.151,C13,"10,44","4,91","0,07","0,63","0,02",0.65,"0,02",3843,88,"-1,07","0,03","31,1",1,M0.0
300,201364753,C1,9.291,0.141,LS,Y,0.369,0.021,2224.37,69.31,0,---,C1,"11,46","4,9","0,07","0,63","0,02",0.65,"0,02",3853,87,"-1,06","0,03","49,4","1,7",M0.0
100,228861595,C10,40.23,0.869,ACF,?,0.219,0.108,1380.92,48.3,0,---,C10,"11,8","4,96","0,06","0,62","0,02",0.64,"0,02",3816,82,"-1,09","0,03","57,2","1,7",M0.5
147,251512053,C17,31.168,0.924,LS,Y,0.517,0.054,1413.21,54.22,0,---,C17,"10,65","4,98","0,06","0,61","0,02",0.64,"0,02",3870,85,"-1,1","0,03","32,3",1,M0.5
149,211516815,C16,30.755,0.98,ACF,Y,1.238,0.075,3715.82,73.9,2,0.026,C16,"12,06","4,98","0,05","0,61","0,02",0.64,"0,01",3802,81,"-1,1","0,03","63,8","1,6",M0.5
202,203846654,C2,21.515,0.547,ACF,Y,0.556,0.079,2142,100.11,0,---,C2,"9,45","4,99","0,04","0,61","0,02",0.64,"0,01",3850,84,"-1,11","0,02","19,1","0,4",M0.5
212,250022000,C15,20.52,1.001,LS,Y,0.279,0.077,775.21,70.93,1,0.012,C15,"11,77","4,96","0,06","0,62","0,02",0.64,"0,02",3831,85,"-1,09","0,03","58,4","1,7",M0.5
220,203354308,C2,19.819,0.371,ACF,Y,0.364,0.049,1280.9,66.12,0,---,C2,"10,5","4,96","1,52","0,62","0,29",0.64,"0,21",3819,918,"-1,09","0,62","27,8","19,5",M0.5
240,250053801,C15,17.673,0.924,ACF,Y,1.237,0.317,3608.72,87.28,0,---,C15,"12,03","4,96","0,07","0,62","0,02",0.64,"0,02",3854,85,"-1,09","0,03","62,8","2,2",M0.5
295,245983914,C12,10.792,0.366,LS,Y,0.795,0.284,2783.65,992.98,6,0.076,C12,"11,97","4,97","0,04","0,62","0,02",0.64,"0,01",3807,82,"-1,1","0,02","62,8","1,4",M0.5
301,247476655,C13,9.149,0.033,LS,Y,3.325,0.199,10025.91,171.03,14,0.176,C13,"11,78","4,98","0,07","0,61","0,02",0.64,"0,02",3862,83,"-1,1","0,03","55,2","1,9",M0.5
139,201506253,C1,32.384,0.64,ACF,?,1.397,0.039,4439.16,67.64,2,0.025,C1,"11,37","5,03","0,06","0,61","0,02",0.63,"0,02",3816,85,"-1,12","0,03",45,"1,3",M0.5
146,249899499,C15,31.306,1.558,LS,?,0.696,0.248,1941.06,94.93,1,0.012,C15,"11,96","5,02","0,06","0,61","0,02",0.63,"0,01",3767,84,"-1,12","0,03","59,8","1,7",M0.5
205,210580056,C4,21.433,0.224,ACF,Y,0.619,0.024,2631.37,31.56,0,---,C4,"9,3","5,01","0,12","0,61","0,03",0.63,"0,02",3817,89,"-1,12","0,05","17,7",1,M0.5
272,210535241,C4,14.257,0.141,LS,?,0.179,0.029,2057.37,65.84,2,0.029,C4,"12,02",5,"0,04","0,61","0,02",0.63,"0,01",3846,82,"-1,11","0,02","61,1","1,3",M0.5
352,201820874,C14,1.107,0,LS,Y,6.993,1.883,18021.67,3030.69,2,0.026,C14,"12,14","5,04","0,05","0,6","0,02",0.63,"0,01",3797,81,"-1,13","0,03","62,5","1,6",M0.5
370,251718998,C19,0.415,0.003,LS,Y,1.619,0.118,4881.1,58.17,0,---,C19,"11,76","5,05","0,04","0,6","0,02",0.63,"0,01",3868,91,"-1,13","0,02","51,5","1,1",M0.5
5,246338131,C12,17.373,0.637,SINE,?,0.324,0.965,965.5,97.88,1,0.013,C12,"12,25","5,08","0,04","0,6","0,02",0.62,"0,01",3819,80,"-1,15","0,02",62,"1,4",M0.5
138,212276489,C6,32.547,0.586,LS,?,0.729,0.185,3695.06,96.68,4,0.051,C6,"11,89","5,11","0,06","0,59","0,02",0.62,"0,02",3773,88,"-1,16","0,03","54,1","1,6",M0.5
181,248664460,C14,26.311,2.631,LS,?,0.836,0.26,2935.46,57.41,0,---,C14,"11,82","5,08","0,06","0,6","0,02",0.62,"0,02",3789,89,"-1,15","0,03","53,1","1,6",M0.5
195,201077482,C10,23.118,0.702,LS,Y,0.173,0.054,841.74,45.51,2,0.029,C10,"11,22","5,09","0,06","0,59","0,02",0.62,"0,02",3774,82,"-1,15","0,03","39,6","1,2",M0.5
206,201703096,C14,21.367,0.216,LS,Y,1.261,0.164,3793.91,87.13,1,0.013,C14,"12,01","5,06","0,06","0,6","0,02",0.62,"0,02",3767,83,"-1,14","0,03","57,5","1,7",M0.5
218,212846068,C17,19.972,0.053,LS,Y,0.415,0.015,1334.66,47.9,0,---,C17,"11,24","5,09","0,09","0,6","0,02",0.62,"0,02",3813,88,"-1,15","0,04",40,"1,8",M0.5
225,205536237,C2,19.431,0.345,ACF,Y,0.653,0.128,2093.06,77.62,0,---,C2,"9,97","5,11","0,06","0,59","0,02",0.62,"0,01",3800,84,"-1,16","0,03","22,1","0,6",M0.5
254,247744104,C13,16.304,0.107,LS,Y,0.986,0.079,3268.97,60.59,2,0.025,C13,"11,51","5,1","0,07","0,59","0,02",0.62,"0,02",3786,83,"-1,16","0,03",46,"1,6",M0.5
267,251540467,C17,14.632,0.844,ACF,?,1.14,0.414,3491.52,61.23,1,0.015,C17,"11,49","5,09","0,07","0,59","0,02",0.62,"0,02",3817,91,"-1,15","0,03","43,4","1,5",M0.5
302,246079058,C19,9.005,---,SINE,?,0.061,0.038,185.44,1095.1,1,0.138,C19,"12,05","5,06","0,04","0,6","0,02",0.62,"0,01",3820,80,"-1,14","0,02","57,2","1,3",M0.5
326,248468115,C14,3.528,0.001,LS,Y,1.447,0.292,4382.01,330.16,9,0.115,C14,"11,87","5,09","0,06","0,59","0,02",0.62,"0,02",3790,82,"-1,15","0,03",54,"1,6",M0.5
93,248504645,C14,41.64,0.173,LS,?,0.654,0.2,1987.3,55.74,0,---,C14,"11,82","5,12","0,07","0,59","0,02",0.61,"0,02",3745,87,"-1,17","0,03","50,3","1,8",M0.5
107,220732658,C8,38.804,1.077,LS,Y,0.414,0.09,2115.11,97.77,0,---,C8,"11,88","5,14","0,65","0,59","0,12",0.61,"0,11",3781,255,"-1,17","0,26","54,3","16,2",M0.5
127,248453031,C14,34.232,0.895,LS,Y,1.014,0.067,3415.96,50.69,6,0.077,C14,"11,07","5,13","0,07","0,59","0,02",0.61,"0,02",3759,89,"-1,17","0,03","36,3","1,3",M0.5
128,212518679,C17,34.146,0.143,LS,?,0.604,0.041,1707.99,72.75,0,---,C17,"12,16","5,11","0,08","0,59","0,02",0.61,"0,02",3806,87,"-1,16","0,04","59,2","2,3",M0.5
199,210757663,C4,21.923,0.226,ACF,Y,0.575,0.032,1796.75,80.91,0,---,C4,"12,1","5,11","0,26","0,59","0,05",0.61,"0,05",3768,120,"-1,16","0,11","59,3","7,3",M0.5
226,246048874,C12,19.272,0.029,LS,Y,0.677,0.255,2373.47,97.51,3,0.038,C12,"11,97","5,13","0,09","0,59","0,02",0.61,"0,02",3761,86,"-1,17","0,04","60,2","2,5",M0.5
259,246862801,C13,15.992,0.08,LS,Y,1.797,0.214,5966.6,70.57,3,0.038,C13,"11,7","5,13","0,05","0,59","0,02",0.61,"0,01",3794,755,"-1,17","0,03","48,3","1,2",M0.5
264,210491860,C13,15.031,0.158,LS,Y,1.214,0.221,3509.81,103.61,0,---,C13,"11,6","5,12","0,04","0,59","0,02",0.61,"0,01",3754,82,"-1,16","0,02","47,1",1,M0.5
277,211111803,C4,12.931,0.086,LS,Y,3.731,0.319,15252.23,260.41,11,0.16,C4,"11,97","5,15","0,04","0,58","0,02",0.61,"0,01",3797,80,"-1,18","0,02","51,9","1,2",M0.5
2,201460770,C1,20.268,0.32,ACF,Y,0.366,0.329,2576.88,76.49,2,0.025,C1,"11,58","5,18","0,04","0,58","0,02",0.6,"0,01",3768,82,"-1,19","0,02","43,8",1,M1.0
136,246238886,C12,33.001,2.632,LS,?,0.312,0.235,910.22,45.85,4,0.051,C19,"9,91","5,2","0,04","0,58","0,02",0.6,"0,01",3769,84,"-1,2","0,02","20,3","0,5",M1.0
245,216848322,C7,17.28,0.131,LS,Y,0.013,0.577,3308.46,81.52,4,0.049,C7,"11,98","5,18","0,05","0,58","0,02",0.6,"0,01",3766,81,"-1,19","0,03","56,7","1,6",M1.0
252,220323325,C8,16.625,0.114,LS,Y,1.252,0.046,4158.88,78.16,0,---,C8,"11,48","5,21","0,07","0,57","0,02",0.6,"0,02",3755,87,"-1,21","0,03","41,2","1,4",M1.0
19,246215873,C12,106.314,---,SINE,?,0.808,0.056,2656.73,78.68,2,0.025,C12,12,"5,25","0,04","0,57","0,02",0.59,"0,01",3713,80,"-1,23","0,02","51,8","1,2",M1.0
88,246461560,C12,42.542,0.742,LS,?,1.286,0.064,4046.02,71,1,0.013,C19,"11,29","5,27","0,06","0,56","0,02",0.59,"0,01",3725,86,"-1,23","0,03","37,1",1,M1.0
89,246461560,C19,11.416,---,SINE,?,0.132,0.079,418.42,58.17,0,---,C19,"11,29","5,27","0,06","0,56","0,02",0.59,"0,01",3725,86,"-1,23","0,03","37,1",1,M1.0
115,201867138,C1,37.656,1.241,ACF,Y,0.563,0.058,2358.25,114.32,1,0.012,C1,"12,14","5,27","0,05","0,56","0,02",0.59,"0,01",3743,81,"-1,23","0,03","54,5","1,5",M1.0
118,246159774,C12,36.614,1.324,ACF,?,0.649,2.332,2681.15,476.55,2,0.025,C12,"12,1","5,27","0,04","0,56","0,02",0.59,"0,01",3696,80,"-1,23","0,02","54,6","1,2",M1.0
120,247905449,C13,36.032,1.822,LS,?,0.684,0.24,2140.84,67.82,0,---,C13,"11,88","5,28","0,06","0,56","0,02",0.59,"0,02",3736,83,"-1,24","0,03","44,4","1,3",M1.0
125,202059192,C0,35.22,1.169,SINE,?,0.468,0.051,1844.13,105.82,0,---,C0,"13,1","5,26","0,05","0,56","0,02",0.59,"0,01",3713,81,"-1,23","0,03","60,1","1,5",M1.0
131,231116934,C11,34.036,0.141,LS,Y,1.343,0.186,3244.78,85.19,3,0.041,C11,12,"5,27","0,05","0,56","0,02",0.59,"0,01",3748,82,"-1,23","0,03","51,4","1,3",M1.0
152,212874829,C17,30.41,0.951,LS,Y,1.359,0.596,4289.12,94.78,7,0.107,C17,"11,85","5,28","0,09","0,56","0,02",0.59,"0,02",3742,88,"-1,24","0,04","47,8",2,M1.0
159,204080947,C2,29.299,0.359,ACF,Y,0.878,0.105,2961.49,176.89,0,---,C2,"12,47","5,23","0,04","0,57","0,02",0.59,"0,01",3725,80,"-1,21","0,02","53,9","1,2",M1.0
185,246374497,C12,25.842,0.283,LS,Y,0.776,0.037,2632.06,48.28,8,0.102,C19,"10,98","5,25","0,06","0,57","0,02",0.59,"0,01",3692,85,"-1,22","0,03","32,7","0,9",M1.0
233,246175846,C12,18.557,0.269,LS,Y,1.359,0.159,4703.55,148.47,1,0.013,C12,"11,21","5,26","0,04","0,56","0,02",0.59,"0,01",3749,87,"-1,23","0,02","34,7","0,8",M1.0
273,212270936,C6,13.606,0.045,LS,Y,1.351,0.161,5146.36,205.88,8,0.102,C6,"12,16","5,24","0,04","0,57","0,02",0.59,"0,01",3762,80,"-1,22","0,02","57,8","1,3",M1.0
278,234562190,C11,12.929,0.366,LS,Y,35.569,15.033,8394.74,1846.5,1,0.014,C11,"9,6","5,25","0,07","0,57","0,02",0.59,"0,02",3745,98,"-1,23","0,03","17,7","0,8",M1.0
332,246806983,C13,2.605,0.053,LS,Y,3.301,0.74,11675.15,919.54,6,0.075,C13,"11,27","5,27","0,19","0,56","0,04",0.59,"0,03",3773,99,"-1,23","0,08","36,8","3,2",M1.0
0,212557255,C6,8.484,0.054,LS,Y,0.559,0.094,2437.19,74.97,12,0.153,C6,"11,18","5,3","0,06","0,56","0,02",0.58,"0,01",3731,85,"-1,25","0,03","34,2","1,1",M1.0
84,210460280,C4,43.744,0.012,ACF,?,0.993,0.046,4259.06,48.23,3,0.044,C4,"11,2","5,32","0,06","0,55","0,02",0.58,"0,01",3752,81,"-1,26","0,03",33,1,M1.0
175,202059198,C0,27.307,0.465,LS,?,0.83,0.029,2802.33,80.49,1,0.03,C0,"11,6","5,31","0,1","0,56","0,02",0.58,"0,02",3727,99,"-1,25","0,04","29,3","1,4",M1.0
246,210408563,C4,17.08,0.648,LS,Y,0.519,0.081,4520.66,127.5,5,0.073,C4,"11,78","5,32","0,04","0,55","0,02",0.58,"0,01",3748,80,"-1,26","0,02","43,8",1,M1.0
270,204963027,C2,14.527,0.028,ACF,Y,1.216,0.043,3459.27,92.83,1,0.013,C2,11,"5,31","1,52","0,56","0,27",0.58,"0,22",3719,792,"-1,25","0,62","31,1","21,8",M1.0
284,210741091,C13,11.721,0.415,LS,?,3.093,0.475,10251.5,251.51,10,0.126,C13,"11,98","5,31","0,05","0,56","0,02",0.58,"0,01",3716,80,"-1,25","0,03","47,7","1,2",M1.0
285,210741091,C4,10.95,0.01,LS,Y,5.533,0.488,18099.59,262.56,12,0.175,C13,"11,98","5,31","0,05","0,56","0,02",0.58,"0,01",3716,80,"-1,25","0,03","47,7","1,2",M1.0
314,202059229,C0,5.006,0.025,ACF,Y,2.401,0.247,7218.59,568.42,4,0.121,C0,"11,6","5,3","0,05","0,56","0,02",0.58,"0,01",3689,82,"-1,24","0,03","22,9","0,6",M1.0
150,247827225,C13,30.484,0.691,ACF,Y,0.703,0.122,2013.73,60.59,2,0.025,C13,"12,36","5,4","0,1","0,54","0,02",0.57,"0,02",3679,84,"-1,29","0,04","54,9","2,6",M1.5
191,229043460,C10,23.946,0.348,ACF,Y,0.266,0.295,2111.45,66.89,1,0.014,C10,"12,12","5,34","0,07","0,55","0,02",0.57,"0,02",3705,85,"-1,27","0,03",50,"1,7",M1.0
238,210439387,C4,17.809,0.615,LS,Y,0.611,0.109,2475.13,104.09,0,---,C4,"12,04","5,39","0,05","0,54","0,02",0.57,"0,01",3698,80,"-1,29","0,03","47,4","1,2",M1.5
251,210393283,C4,16.626,0.093,LS,?,0.117,0.119,868.5,93.86,0,---,C4,"12,1","5,39","0,12","0,54","0,03",0.57,"0,02",3657,86,"-1,29","0,05","50,5","2,7",M1.5
260,201128047,C10,15.222,0.592,ACF,Y,0.195,0.228,909.09,97.04,3,0.043,C10,"12,38","5,4","0,05","0,54","0,02",0.57,"0,01",3691,82,"-1,29","0,03","53,8","1,4",M1.5
299,220677352,C8,9.678,0.052,LS,Y,0.23,0.024,1258.07,67.8,1,0.013,C8,"11,28","5,35","0,18","0,55","0,03",0.57,"0,03",3701,99,"-1,27","0,07","34,8","2,9",M1.0
306,202059204,C0,7.887,0.07,ACF,Y,2.513,0.126,8494.33,321.07,3,0.091,C0,"11,8","5,39","0,09","0,54","0,02",0.57,"0,02",3726,94,"-1,29","0,04","29,6","1,3",M1.5
312,245919787,C12,5.649,0.016,LS,Y,9.418,2.379,28749.44,992.98,6,0.076,C12,"10,33","5,36","0,04","0,55","0,02",0.57,"0,01",3733,84,"-1,27","0,02","17,4","0,4",M1.0
343,210613397,C4,1.745,0.065,LS,Y,2.049,0.426,10218.28,774.24,3,0.044,C4,"11,99","5,38","0,77","0,54","0,13",0.57,"0,13",3728,281,"-1,28","0,31","48,8","17,3",M1.0
92,251584738,C17,41.648,1.08,ACF,?,0.891,0.082,2607.61,50.08,1,0.015,C17,"10,91","5,42","0,06","0,54","0,02",0.56,"0,01",3660,84,"-1,3","0,03","26,4","0,8",M1.5
111,246419402,C12,38.017,0.525,LS,?,0.54,0.403,1778.08,75.05,3,0.038,C19,"11,83","5,41","0,04","0,54","0,02",0.56,"0,01",3611,81,"-1,3","0,02","42,9",1,M1.5
112,246419402,C19,11.64,---,SINE,?,0.068,0.108,233,57.47,0,---,C19,"11,83","5,41","0,04","0,54","0,02",0.56,"0,01",3611,81,"-1,3","0,02","42,9",1,M1.5
113,211599658,C18,37.962,0.108,ACF,?,0.295,0.041,950.82,72.53,0,---,C18,"12,02","5,44","0,1","0,53","0,02",0.56,"0,02",3683,84,"-1,31","0,04",46,"2,2",M1.5
116,212662886,C17,37.213,0.192,ACF,?,0.545,0.087,1721.54,63.6,2,0.031,C17,"11,66","5,4","0,06","0,54","0,02",0.56,"0,01",3717,89,"-1,29","0,03",40,"1,2",M1.5
121,201719115,C1,36.001,0.649,ACF,Y,0.751,0.037,2551.8,74.44,2,0.025,C1,"11,91","5,42","0,08","0,54","0,02",0.56,"0,02",3643,85,"-1,3","0,04","45,4","1,8",M1.5
167,247679710,C13,27.973,1.728,LS,Y,1.193,0.318,3520.04,71.36,0,---,C13,"12,34","5,43","0,1","0,54","0,02",0.56,"0,02",3665,86,"-1,31","0,04","48,4","2,3",M1.5
190,229122988,C10,24.232,1.151,ACF,Y,0.988,0.138,3950.16,76.53,1,0.014,C10,"12,3","5,43","0,06","0,54","0,02",0.56,"0,01",3664,84,"-1,31","0,03","50,1","1,5",M1.5
213,212171836,C18,20.452,0.132,ACF,Y,2.467,0.523,7022.2,101.81,2,0.041,C18,"11,65","5,43","0,08","0,53","0,02",0.56,"0,02",3694,90,"-1,31","0,04","38,9","1,6",M1.5
214,212171836,C5,19.263,0.349,LS,?,0.526,0.234,5380.82,92.39,1,0.014,C18,"11,65","5,43","0,08","0,53","0,02",0.56,"0,02",3694,90,"-1,31","0,04","38,9","1,6",M1.5
65,201223580,C10,54.132,6.238,LS,?,0.759,0.323,4859.63,69.76,3,0.043,C10,"12,23","5,46","0,07","0,53","0,02",0.55,"0,02",3718,83,"-1,32","0,03","49,2","1,7",M1.5
109,220237354,C8,38.211,0.902,LS,?,1.416,0.066,7242.6,87.45,4,0.052,C8,"12,22","5,51","0,12","0,52","0,02",0.55,"0,02",3693,86,"-1,34","0,05","47,5","2,6",M1.5
153,249591902,C15,29.814,0.05,LS,Y,1.415,0.396,4697.11,99.56,5,0.058,C15,"12,4","5,48","0,06","0,53","0,02",0.55,"0,01",3633,83,"-1,33","0,03","54,1","1,6",M1.5
211,247238215,C13,20.636,0.154,ACF,Y,2.012,0.3,5947.41,55.5,4,0.05,C13,"11,17","5,48","0,06","0,53","0,02",0.55,"0,01",3665,82,"-1,33","0,03","30,6","0,8",M1.5
216,211845940,C16,20.185,0.41,LS,Y,0.801,0.114,2861,66.95,1,0.013,C18,"11,87","5,51","0,07","0,52","0,02",0.55,"0,02",3643,84,"-1,34","0,03","40,5","1,4",M1.5
49,206479389,C3,66.71,---,SINE,?,0.957,0.068,3107.37,104.33,3,0.045,C3,12,"5,55","0,14","0,52","0,03",0.54,"0,03",3651,88,"-1,36","0,06","43,6","2,8",M1.5
103,230510723,C11,39.396,4.315,LS,?,0.867,0.13,2515.49,72.25,5,0.069,C11,"11,79","5,54","0,05","0,52","0,02",0.54,"0,01",3619,82,"-1,35","0,03","39,2",1,M1.5
148,206181550,C3,31.099,0.967,LS,Y,0.667,0.049,2003.25,67.56,0,---,C3,"12,1","5,56","0,09","0,51","0,02",0.54,"0,02",3679,83,"-1,36","0,04",43,"1,8",M1.5
160,229081889,C10,29.018,0.688,LS,Y,1.132,0.14,3094.03,85.15,5,0.072,C10,"12,22","5,52","0,07","0,52","0,02",0.54,"0,02",3631,88,"-1,35","0,03","48,4","1,7",M1.5
255,247325547,C13,16.163,1.616,SINE,?,0.414,0.079,1403.84,42.69,3,0.038,C13,"11,48","5,53","0,08","0,52","0,02",0.54,"0,02",3674,84,"-1,35","0,04",27,1,M1.5
271,210596446,C13,14.424,0.222,LS,Y,1.611,0.3,5031.62,289.07,22,0.276,C13,12,"5,56","0,09","0,51","0,02",0.54,"0,02",3633,84,"-1,36","0,04","41,5","1,7",M1.5
288,210579749,C4,11.245,0.081,LS,Y,0.726,0.078,2916.13,43.9,9,0.131,C4,"9,98","5,53","0,09","0,52","0,02",0.54,"0,02",3643,83,"-1,35","0,04","17,1","0,7",M1.5
324,246182783,C19,3.774,0.317,LS,?,0.043,0.011,130.69,125.4,1,0.139,C19,"12,33","5,55","0,04","0,52","0,02",0.54,"0,01",3605,81,"-1,36","0,02","49,9","1,1",M1.5
37,250072828,C15,78.41,0.562,LS,?,0.828,0.075,2618.98,103.18,0,---,C15,"12,16","5,61","0,09","0,51","0,02",0.53,"0,02",3610,84,"-1,38","0,04","43,5","1,9",M2.0
87,204610472,C2,42.559,0.488,ACF,?,0.659,0.108,2183.22,145.87,1,0.013,C2,"12,07","5,62","0,07","0,5","0,02",0.53,"0,02",3611,83,"-1,39","0,03","46,8","1,6",M2.0
123,212807182,C6,35.303,0.159,LS,Y,0.692,0.225,2369.74,118.16,1,0.013,C17,"12,23","5,61","0,09","0,51","0,02",0.53,"0,02",3583,83,"-1,39","0,04","46,7","1,9",M2.0
124,212807182,C17,19.393,1.024,ACF,?,0.924,0.281,2816.11,32.49,5,0.076,C17,"12,23","5,61","0,09","0,51","0,02",0.53,"0,02",3583,83,"-1,39","0,04","46,7","1,9",M2.0
141,211400445,C16,32.018,0.562,LS,Y,0.858,0.028,2590.53,52.91,3,0.039,C16,"9,8","5,59","0,07","0,51","0,02",0.53,"0,02",3563,83,"-1,37","0,03","15,1","0,5",M1.5
275,246310210,C19,13.281,---,SINE,?,0.156,0.041,463.71,1258.3,0,---,C19,"12,39","5,58","0,04","0,51","0,02",0.53,"0,01",3631,80,"-1,37","0,02","50,4","1,1",M1.5
70,212647740,C6,48.238,4.371,LS,?,0.41,0.378,1604.96,98.38,1,0.013,C6,"12,34","5,66","0,06","0,5","0,02",0.52,"0,01",3613,81,"-1,41","0,03","46,6","1,4",M2.0
80,236469315,C11,46.543,1.068,ACF,?,0.579,0.068,1671.58,51.82,0,---,C11,"11,41","5,67","0,15","0,5","0,03",0.52,"0,03",3536,100,"-1,41","0,06","29,8","2,1",M2.0
94,249860217,C15,41.073,0.216,LS,?,0.443,0.062,1454.46,49.69,0,---,C15,"10,89","5,68","0,09","0,49","0,02",0.52,"0,02",3641,84,"-1,42","0,04","23,4",1,M2.0
81,205182959,C2,46.08,0.34,LS,?,1.445,0.308,2282.09,119.89,0,---,C2,"12,42","5,73","0,08","0,49","0,02",0.51,"0,02",3584,83,"-1,44","0,04","46,5","1,8",M2.0
129,201717312,C1,34.142,0.84,ACF,Y,0.636,0.037,1961.9,100.3,0,---,C1,"12,1","5,74","0,07","0,48","0,02",0.51,"0,02",3542,83,"-1,44","0,03","39,8","1,4",M2.0
198,249338840,C15,22.354,0.081,LS,Y,0.569,0.062,1780.87,66.12,6,0.069,C15,"10,99","5,7","0,06","0,49","0,02",0.51,"0,01",3590,82,"-1,42","0,03","24,4","0,7",M2.0
209,205030726,C2,21.065,1.666,ACF,?,0.196,0.092,1211.07,98.17,1,0.013,C2,"11,18","5,72","0,06","0,49","0,02",0.51,"0,01",3576,91,"-1,43","0,03","25,9","0,8",M2.0
119,210915518,C13,36.246,1.242,ACF,Y,1.789,0.465,5135.82,91.38,1,0.013,C13,"12,54","5,8","0,09","0,47","0,02",0.5,"0,02",3588,82,"-1,47","0,04","37,3","1,5",M2.0
144,211489708,C16,31.512,2.105,ACF,Y,1.056,0.253,3241.73,75.73,0,---,C16,"11,53","5,79","0,07","0,48","0,02",0.5,"0,02",3592,86,"-1,46","0,03","28,6",1,M2.0
196,205489894,C2,22.802,1.247,ACF,?,0.545,0.033,2345.86,125.74,1,0.013,C2,"12,34","5,77","0,04","0,48","0,02",0.5,"0,01",3589,80,"-1,45","0,02","43,6",1,M2.0
197,205040974,C2,22.373,0.99,ACF,?,0.596,0.062,3064.5,106.66,1,0.013,C2,"11,31","5,78","0,06","0,48","0,02",0.5,"0,01",3585,85,"-1,46","0,03","26,2","0,7",M2.0
200,210693497,C4,21.854,0.821,LS,Y,0.906,0.165,7189.58,92.93,0,---,C4,"12,14","5,78","0,05","0,48","0,02",0.5,"0,01",3584,80,"-1,46","0,03","38,9",1,M2.0
204,248505702,C14,21.453,0.209,ACF,Y,0.41,0.09,1215.92,41.01,2,0.026,C14,"10,89","5,78","0,05","0,48","0,02",0.5,"0,01",3598,84,"-1,46","0,03","21,7","0,6",M2.0
215,247867687,C13,20.433,0.18,LS,Y,0.451,0.146,1522.3,50.37,1,0.013,C13,"10,77","5,8","0,08","0,48","0,02",0.5,"0,02",3552,84,"-1,47","0,04","19,1","0,7",M2.0
184,201611969,C1,25.992,0.85,LS,?,0.67,0.046,3811.8,71.6,7,0.087,C1,"11,55","5,82","0,04","0,47","0,02",0.49,"0,01",3552,81,"-1,48","0,02","29,8","0,7",M2.0
210,211036776,C4,20.738,0.151,ACF,Y,1.875,0.059,6248.6,113.75,5,0.073,C4,"12,8","5,85","0,08","0,47","0,02",0.49,"0,02",3534,84,"-1,49","0,04","34,4","1,3",M2.0
248,220706618,C8,16.964,0.044,LS,Y,0.65,5.189,2025.77,226.82,13,0.169,C8,"11,94","5,83","0,05","0,47","0,02",0.49,"0,01",3595,82,"-1,48","0,03",34,"0,9",M2.0
