angDist_1,_RAJ2000_1,_DEJ2000_1,KIC_1,Kpmag_1,Q_1,Teff_1,E_Teff_1,e_Teff_1a,logg_1,E_logg_1,e_logg_1a,Mass_1,E_Mass_1,e_Mass_1a,Prot_1,E_Prot_1,Sph_1,E_Sph_1,Fl1_1,DMK_1,Fl2_1,Fl3_1,Fl4_1,Fl5_1,M17_1,Simbad_1,_RA_1,_DE_1,_RAJ2000_1a,_DEJ2000_1a,LAMOST,rmag,imag,zmag,SpT_1,Var,K,m_LAMOST,EWHa,ActHa,EWHb,ActHb,EWHg,ActHg,EWHd,ActHd,EWCaH,ActCaH,EWCaK,ActCaK,EWCa84,ActCa84,EWCa85,ActCa85,EWCa86,ActCa86,EWHeI,ActHeI,_RA_1a,_DE_1a,angDist_2,_RAJ2000_2,_DEJ2000_2,KIC_2,Kpmag_2,Q_2,Teff_2,E_Teff_2,e_Teff_2a,logg_2,E_logg_2,e_logg_2a,Mass_2,E_Mass_2,e_Mass_2a,Prot_2,E_Prot_2,Sph_2,E_Sph_2,Fl1_2,DMK_2,Fl2_2,Fl3_2,Fl4_2,Fl5_2,M17_2,Simbad_2,_RA_2,_DE_2,_RAJ2000_2a,_DEJ2000_2a,OT,Name,RAJ2000,DEJ2000,CaH2,CaH3,TiO5,SNR,SpT_2,Gmag,Ksmag,W2mag,E(B-V),Dist,RVel,[M/H],Cl,MCat,Gaia,WISEA,2M,Separation
0.13141,290.71021,37.6223181,2299707,15.18," 1-17",4270,129,142,4.609,0.053,0.018,0.664,0.052,0.052,45.47,7.63,806.5,20.7,,,,,,0,M17,Simbad,290.71021,37.62232,290.7101667,37.6223056,J192250.44+373720.3,,,,M0,,1,1,-0.109,N,-0.052,N,-0.207,N,-0.145,N,-5.582,N,-8.103,N,-0.538,N,-1.585,N,-1.199,N,-0.346,N,290.71017,37.62231,0.053856,290.71021,37.6223181,2299707,15.18," 1-17",4270,129,142,4.609,0.053,0.018,0.664,0.052,0.052,45.47,7.63,806.5,20.7,,,,,,0,M17,Simbad,290.71021,37.62232,290.71021,37.62233306,D,J192250.44+373720.3,290.71021,37.622333,0.818,0.912,0.818,63.9,dKr7.5,,,,,,-57,,u,1,Gaia,WISEA,2M,0.0
0.034923,291.21249,37.61705,2301872,13.052," 0-17",4110,110,123,4.646,0.053,0.021,0.606,0.058,0.058,22.59,1.91,400.7,13.2,,,0,0,,0,M17,Simbad,291.21249,37.61705,291.2125,37.6170556,J192451.00+373701.4,,,,M0,,1,1,-0.213,N,-0.221,N,-0.007,N,-1.114,N,-1.617,N,-2.999,N,-0.434,N,-1.444,N,-0.978,N,-0.277,N,291.2125,37.61706,0.0,291.21249,37.61705,2301872,13.052," 0-17",4110,110,123,4.646,0.053,0.021,0.606,0.058,0.058,22.59,1.91,400.7,13.2,,,0,0,,0,M17,Simbad,291.21249,37.61705,291.21249,37.61705,D,J192450.99+373701.3,291.21249,37.61705,0.779,0.887,0.824,251.9,dKp7.5,13.129,9.928,9.73,0.01,93,-35,,m,0,Gaia,WISEA,2M,0.0
0.096787,297.09683,46.17131,9540467,11.964," 0-17",3919,121,148,4.679,0.07,0.025,0.57,0.051,0.07,8.38,0.58,8960.7,418.7,,,1,0,,0,M17,Simbad,297.09683,46.17131,297.0967917,46.1713056,J194823.23+461016.7,,,,M0,,1,1,1.066,Y,1.052,Y,1.248,Y,0.513,N,4.989,Y,3.845,Y,-0.203,N,-1.159,N,-0.955,N,-0.015,N,297.09679,46.17131,0.0,297.09683,46.17131,9540467,11.964," 0-17",3919,121,148,4.679,0.07,0.025,0.57,0.051,0.07,8.38,0.58,8960.7,418.7,,,1,0,,0,M17,Simbad,297.09683,46.17131,297.09683,46.17131,D,J194823.23+461016.7,297.09683,46.17131,0.679,0.833,0.746,385.2,dMp0.5,11.873,8.806,8.667,0.02,92,-6,,m,0,Gaia,WISEA,2M,0.0
0.100396,287.24066,46.2427219,9578520,13.572," 0-17",3483,51,51,4.905,0.045,0.036,0.358,0.04,0.049,38.23,3.62,398.8,10.6,,,,,,0,M17,Simbad,287.24066,46.24272,287.2406667,46.2426944,J190857.76+461433.7,,,,M2,,1,1,-0.056,N,0.88,N,-1.308,N,1.39,N,-7.724,N,-4.58,N,-0.405,N,-0.617,N,-1.126,N,0.856,N,287.24067,46.24269,1.44E-4,287.24066,46.2427219,9578520,13.572," 0-17",3483,51,51,4.905,0.045,0.036,0.358,0.04,0.049,38.23,3.62,398.8,10.6,,,,,,0,M17,Simbad,287.24066,46.24272,287.24066,46.24272194,D,J190857.75+461433.7,287.24066,46.242722,0.699,0.874,0.776,37.9,dMr0.0,13.829,10.338,10.098,0.01,92,7,,m,0,Gaia,WISEA,2M,0.0
0.027577,287.90851,46.2662811,9579672,14.279," 1-17",3587,43,48,4.809,0.039,0.025,0.449,0.032,0.032,35.68,1.76,707.5,18.7,,,0,0,,0,M17,Simbad,287.90851,46.26628,287.9085,46.2662778,J191138.04+461558.6,,,,M1,,1,1,0.332,N,0.456,N,0.722,N,-0.478,N,-4.704,N,-3.754,N,-0.102,N,-1.045,N,-0.611,N,-0.269,N,287.9085,46.26628,3.6E-5,287.90851,46.2662811,9579672,14.279," 1-17",3587,43,48,4.809,0.039,0.025,0.449,0.032,0.032,35.68,1.76,707.5,18.7,,,0,0,,0,M17,Simbad,287.90851,46.26628,287.90851,46.26628111,D,J191138.04+461558.6,287.90851,46.266281,0.618,0.824,0.625,47.7,dMs1.5,14.292,10.973,10.843,0.01,133,-81,,m,0,Gaia,WISEA,2M,0.0
0.13313,291.10846,37.8577919,2574201,15.501," 1-17",3687,65,80,4.813,0.048,0.036,0.459,0.032,0.044,29.59,2.13,2372.1,71.6,,,0,0,,0,M17,Simbad,291.10846,37.85779,291.1084167,37.8577778,J192426.02+375128.0,,,,M0,,0,1,-0.106,N,-0.012,N,0.008,N,-2.677,N,-7.436,N,-0.545,N,-0.631,N,-1.268,N,-1.003,N,-0.164,N,291.10842,37.85778,0.049824,291.10846,37.8577919,2574201,15.501," 1-17",3687,65,80,4.813,0.048,0.036,0.459,0.032,0.044,29.59,2.13,2372.1,71.6,,,0,0,,0,M17,Simbad,291.10846,37.85779,291.10846,37.85777806,D,J192426.02+375128.0,291.10846,37.857778,0.679,0.838,0.756,49.6,dMp0.5,15.43,12.36,12.258,0.02,231,-16,,m,0,Gaia,WISEA,2M,0.0
0.04708,291.97751,46.2514,9588430,13.86," 1-17",3841,120,147,4.675,0.063,0.023,0.591,0.039,0.067,36.93,2.52,2745.2,60.6,,,0,0,,0,M17,Simbad,291.97751,46.2514,291.9775,46.2513889,J192754.60+461505.0,,,,M1,,1,3,0.006,N,-0.154,N,0.351,N,-0.406,N,-2.266,N,-2.711,N,-0.316,N,-0.995,N,-0.823,N,-0.333,N,291.9775,46.25139,0.0,291.97751,46.2514,9588430,13.86," 1-17",3841,120,147,4.675,0.063,0.023,0.591,0.039,0.067,36.93,2.52,2745.2,60.6,,,0,0,,0,M17,Simbad,291.97751,46.2514,291.97751,46.2514,D,J192754.60+461505.0,291.97751,46.2514,0.627,0.821,0.642,130.6,dMr1.0,13.831,10.49,10.363,0.01,126,-12,,m,0,Gaia,WISEA,2M,0.0
0.62683,285.77542,37.9227981,2692704,13.324," 1-17",3792,120,147,4.664,0.072,0.018,0.594,0.04,0.06,14.79,1.12,4760.2,161.6,,,0,0,,0,M17,Simbad,285.77542,37.9228,285.7754167,37.9229722,J190306.10+375522.7,,,,M3,,1,1,1.071,Y,1.259,Y,1.628,Y,0.648,N,2.746,Y,0.791,N,-0.205,N,-0.85,N,-0.83,N,-0.295,N,285.77542,37.92297,0.664321,285.77542,37.9227981,2692704,13.324," 1-17",3792,120,147,4.664,0.072,0.018,0.594,0.04,0.06,14.79,1.12,4760.2,161.6,,,0,0,,0,M17,Simbad,285.77542,37.9228,285.77545,37.92298111,D,J190306.10+375522.7,285.77545,37.922981,0.559,0.77,0.594,259.0,dMs2.0,13.294,9.769,9.506,0.0,62,,,m,0,Gaia,WISEA,2M,0.0
0.095844,294.00116,46.2589,9593457,15.937," 2-17",3410,44,40,4.953,0.045,0.036,0.29,0.047,0.039,40.42,5.03,1053.7,31.2,,,0,0,,0,M17,Simbad,294.00116,46.2589,294.001125,46.2588889,J193600.27+461532.0,,,,M2,,1,1,0.514,N,0.318,N,-0.068,N,-1.401,N,-0.482,N,-2.19,N,0.672,N,-1.176,N,-0.787,N,-0.386,N,294.00112,46.25889,0.0,294.00116,46.2589,9593457,15.937," 2-17",3410,44,40,4.953,0.045,0.036,0.29,0.047,0.039,40.42,5.03,1053.7,31.2,,,0,0,,0,M17,Simbad,294.00116,46.2589,294.00116,46.2589,D,J193600.27+461532.0,294.00116,46.2589,0.588,0.798,0.615,51.4,dMs1.5,15.837,12.514,12.293,0.03,210,-22,,m,0,Gaia,WISEA,2M,0.0
0.050943,286.62314,38.0803411,2834564,14.509," 1-17",3530,42,47,4.876,0.035,0.031,0.39,0.036,0.04,21.36,1.68,3505.8,102.2,,,0,0,,0,M17,Simbad,286.62314,38.08034,286.623125,38.0803333,J190629.55+380449.2,,,,M1,,1,1,0.02,N,0.271,N,0.384,N,-0.302,N,-0.157,N,0.163,N,-0.456,N,-1.211,N,-1.03,N,-0.262,N,286.62312,38.08033,3.6E-5,286.62314,38.0803411,2834564,14.509," 1-17",3530,42,47,4.876,0.035,0.031,0.39,0.036,0.04,21.36,1.68,3505.8,102.2,,,0,0,,0,M17,Simbad,286.62314,38.08034,286.62314,38.08034111,D,J190629.55+380449.2,286.62314,38.080341,0.619,0.813,0.651,118.8,dMs1.0,14.447,11.156,10.975,0.01,123,-7,,m,0,Gaia,WISEA,2M,0.0
