EPIC,CAMPAIGN,KP(mag),Abs_Mk,e_Abs_Mk,Radius(Rsun),e_Radius(Rsun),Mass(Msun),e_Mass(Sun),Teff(K),e_Teff(K),log(Luminosity(Lsun)),err_log(Luminosity(Lsun)),dist(pc),e_dist(pc),SpT
206055065,C3,"10,88","4,17","0,05","0,78","0,02","0,77","0,02",4168,86,"-0,73","0,02","65,6","1,8",K6.0
206056832,C3,"11,95","4,54","0,07","0,7","0,02","0,71","0,02",4028,86,"-0,9","0,03","81,7","2,7",K7.0
206107346,C3,"9,88","4,95","0,05","0,62","0,02","0,64","0,01",3828,84,"-1,09","0,03","19,5","0,6",M0.5
206181550,C3,"12,1","5,56","0,09","0,51","0,02","0,54","0,02",3679,83,"-1,36","0,04",43,"1,8",M1.5
206208968,C3,"10,78","6,4","0,08","0,39","0,02","0,4","0,01",3400,81,"-1,73","0,04",18,"0,7",M3.0
206249569,C3,"12,6","6,34","0,05","0,39","0,01","0,41","0,01",3407,81,"-1,71","0,02","32,7","0,8",M3.0
206262223,C3,"12,03","6,39","0,07","0,39","0,01","0,4","0,01",3430,84,"-1,73","0,03","26,8","0,9",M3.0
206262336,C3,"12,03","7,06","0,06","0,3","0,01","0,31","0,01",3237,88,"-2,02","0,03","16,6","0,5",M4.0
206288689,C3,"11,96","6,27","0,07","0,41","0,02","0,42","0,01",3486,86,"-1,68","0,03","26,3","0,9",M3.0
206349327,C3,"12,47","5,94","0,09","0,45","0,02","0,47","0,02",3556,82,"-1,53","0,04","39,7","1,6",M2.5
206368165,C3,"12,49","5,88","0,06","0,46","0,02","0,48","0,01",3451,83,"-1,5","0,03","45,2","1,3",M2.0
206435478,C3,"11,54","4,81","0,04","0,65","0,02","0,67","0,01",3894,82,"-1,03","0,02","46,8","1,1",M0.0
206479389,C3,12,"5,55","0,14","0,52","0,03","0,54","0,03",3651,88,"-1,36","0,06","43,6","2,8",M1.5
206490189,C3,"12,52","6,14","0,05","0,42","0,01","0,44","0,01",3471,81,"-1,62","0,02","27,7","0,8",M2.5
210317378,C4,"12,72","6,52","0,08","0,37","0,01","0,38","0,01",3404,82,"-1,78","0,03","31,5","1,1",M3.0
210340480,C4,"11,58","5,14","0,05","0,59","0,02","0,61","0,01",3752,82,"-1,17","0,03",46,"1,3",M0.5
210360545,C4,"12,95","7,46","0,34","0,26","0,04","0,26","0,04",3189,103,"-2,19","0,14","19,2",3,M4.5
210393283,C4,"12,1","5,39","0,12","0,54","0,03","0,57","0,02",3657,86,"-1,29","0,05","50,5","2,7",M1.5
210408563,C4,"11,78","5,32","0,04","0,55","0,02","0,58","0,01",3748,80,"-1,26","0,02","43,8",1,M1.0
210434433,C4,"12,14","6,36","0,06","0,39","0,01","0,41","0,01",3447,82,"-1,71","0,03","25,1","0,8",M3.0
210434769,C4,"10,27","4,71","0,07","0,67","0,02","0,68","0,02",3978,87,"-0,98","0,03","31,3","1,1",M0.0
210434976,C4,"12,66","7,45","0,06","0,26","0,01","0,26","0,01",3264,80,"-2,19","0,03","16,8","0,5",M4.5
210439387,C4,"12,04","5,39","0,05","0,54","0,02","0,57","0,01",3698,80,"-1,29","0,03","47,4","1,2",M1.5
210460280,C4,"11,2","5,32","0,06","0,55","0,02","0,58","0,01",3752,81,"-1,26","0,03",33,1,M1.0
210466658,C4,"10,45","4,43","0,06","0,72","0,02","0,73","0,02",4031,85,"-0,85","0,03","43,7","1,3",K7.0
210486424,C4,"12,26","6,24","0,05","0,41","0,01","0,43","0,01",3430,80,"-1,66","0,03","31,3","0,8",M3.0
210489654,C4,"12,62","7,24","0,05","0,28","0,01","0,28","0,01",3235,81,"-2,1","0,03",19,"0,5",M4.5
210497694,C4,"12,3","5,27","0,22","0,56","0,04","0,59","0,04",3673,105,"-1,23","0,09","60,2","6,1",M1.0
210500368,C4,"11,8","5,07","0,16","0,6","0,03","0,62","0,03",3776,96,"-1,14","0,07","53,2","3,9",M0.5
210500658,C4,"11,4","4,13","0,06","0,78","0,03","0,78","0,02",4142,88,"-0,71","0,03",84,"2,5",K6.0
210502828,C4,"11,15","4,57","0,1","0,69","0,03","0,71","0,02",4012,91,"-0,92","0,04","53,9","2,5",K7.0
210535241,C4,"12,02",5,"0,04","0,61","0,02","0,63","0,01",3846,82,"-1,11","0,02","61,1","1,3",M0.5
210579749,C4,"9,98","5,53","0,09","0,52","0,02","0,54","0,02",3643,83,"-1,35","0,04","17,1","0,7",M1.5
210580056,C4,"9,3","5,01","0,12","0,61","0,03","0,63","0,02",3817,89,"-1,12","0,05","17,7",1,M0.5
210585703,C4,"11,61","5,26","0,06","0,56","0,02","0,59","0,02",3670,82,"-1,23","0,03","43,1","1,3",M1.0
210592074,C4,"11,44","4,37","0,07","0,74","0,03","0,74","0,02",4090,88,"-0,82","0,03",71,"2,5",K7.0
210613397,C4,"11,99","5,38","0,77","0,54","0,13","0,57","0,13",3728,281,"-1,28","0,31","48,8","17,3",M1.0
210693497,C4,"12,14","5,78","0,05","0,48","0,02","0,5","0,01",3584,80,"-1,46","0,03","38,9",1,M2.0
210707811,C4,"12,81","6,82","0,05","0,33","0,01","0,34","0,01",3325,80,"-1,92","0,02","27,2","0,6",M3.5
210757663,C4,"12,1","5,11","0,26","0,59","0,05","0,61","0,05",3768,120,"-1,16","0,11","59,3","7,3",M0.5
210778181,C4,"11,15","4,74","0,06","0,66","0,02","0,68","0,02",3904,96,"-0,99","0,03","50,5","1,4",M0.0
210941195,C4,"13,36","5,92","0,09","0,46","0,02","0,48","0,02",3541,84,"-1,52","0,04",36,"1,6",M2.5
211006744,C4,"13,27","4,91","0,1","0,63","0,03","0,65","0,02",3837,89,"-1,07","0,04","69,1","3,3",M0.0
211008819,C4,"10,1","4,87","0,14","0,63","0,03","0,66","0,03",3904,99,"-1,05","0,06","24,7","1,6",M0.0
211029843,C4,"12,71","5,65","0,07","0,5","0,02","0,52","0,02",3563,81,"-1,4","0,03","49,2","1,7",M2.0
211036776,C4,"12,8","5,85","0,08","0,47","0,02","0,49","0,02",3534,84,"-1,49","0,04","34,4","1,3",M2.0
211107998,C4,"13,02","6,1","0,1","0,43","0,02","0,45","0,02",3529,84,"-1,6","0,04","29,8","1,4",M2.5
211111803,C4,"11,97","5,15","0,04","0,58","0,02","0,61","0,01",3797,80,"-1,18","0,02","51,9","1,2",M0.5
211183696,C4,"11,56","6,49","0,15","0,38","0,02","0,39","0,02",3421,85,"-1,77","0,06","18,5","1,2",M3.0
212270936,C6,"12,16","5,24","0,04","0,57","0,02","0,59","0,01",3762,80,"-1,22","0,02","57,8","1,3",M1.0
212276489,C6,"11,89","5,11","0,06","0,59","0,02","0,62","0,02",3773,88,"-1,16","0,03","54,1","1,6",M0.5
212280999,C6,"12,46","6,22","0,09","0,41","0,02","0,43","0,02",3394,82,"-1,65","0,04",35,"1,5",M3.0
212285603,C6,"10,67","6,85","0,09","0,33","0,01","0,33","0,01",3290,87,"-1,93","0,04","10,2","0,5",M3.5
212318785,C6,"12,56","6,2","0,08","0,41","0,02","0,43","0,01",3502,81,"-1,65","0,03","36,3","1,3",M2.5
212323908,C6,"12,58","6,56","0,08","0,37","0,01","0,38","0,01",3374,80,"-1,8","0,03","30,2","1,1",M3.5
212329328,C6,"11,3","4,07","0,05","0,8","0,03","0,79","0,02",4253,87,"-0,68","0,03","85,8","2,5",K6.0
212422696,C6,13,"7,47","0,06","0,26","0,01","0,26","0,01",3150,81,"-2,2","0,03","20,1","0,6",M4.5
212557255,C6,"11,18","5,3","0,06","0,56","0,02","0,58","0,01",3731,85,"-1,25","0,03","34,2","1,1",M1.0
212647740,C6,"12,34","5,66","0,06","0,5","0,02","0,52","0,01",3613,81,"-1,41","0,03","46,6","1,4",M2.0
212663915,C6,"11,93","4,46","0,05","0,72","0,02","0,72","0,02",4052,86,"-0,86","0,03","86,7","2,5",K7.0
213817346,C7,"13,34","8,26","0,05","0,19","0,01","0,19",0,3034,81,"-2,54","0,02","12,8","0,3",M6.0
214089305,C7,"12,52","6,05","0,05","0,44","0,01","0,46","0,01",3495,80,"-1,58","0,02","41,3","0,9",M2.5
214269391,C7,"9,35","4,74","0,14","0,66","0,03","0,68","0,03",3901,101,"-0,99","0,06","19,4","1,3",M0.0
214787262,C7,"12,53","6,54","0,05","0,37","0,01","0,38","0,01",3382,80,"-1,8","0,02",29,"0,7",M3.0
215004972,C7,"11,32","4,57","0,05","0,69","0,02","0,71","0,02",3984,85,"-0,92","0,03","54,6","1,5",K7.0
215632123,C7,"8,45","6,97","0,05","0,31","0,01","0,32","0,01",3276,81,"-1,98","0,02","4,8","0,1",M4.0
215818496,C7,"11,02","6,4","0,05","0,39","0,01","0,4","0,01",3370,83,"-1,73","0,03","16,1","0,4",M3.0
215969058,C7,"11,58","5,59","0,07","0,51","0,02","0,53","0,02",3623,92,"-1,38","0,03","37,2","1,3",M1.5
216273315,C7,"12,39","5,43","0,04","0,54","0,02","0,56","0,01",3656,86,"-1,3","0,02","43,2",1,M1.5
216848322,C7,"11,98","5,18","0,05","0,58","0,02","0,6","0,01",3766,81,"-1,19","0,03","56,7","1,6",M1.0
216892056,C7,"12,5","5,92","0,04","0,46","0,01","0,48","0,01",3525,80,"-1,52","0,02","43,8","0,9",M2.5
218121888,C7,"12,04","7,32","0,05","0,27","0,01","0,27","0,01",3184,79,"-2,13","0,02","22,6","0,5",M4.5
218790299,C7,"10,72","4,5","0,08","0,71","0,03","0,72","0,02",4081,95,"-0,88","0,04","43,5","1,7",K7.0
219448194,C7,"12,04","5,44","0,04","0,53","0,02","0,56","0,01",3696,82,"-1,31","0,02","48,1","1,1",M1.5
220209255,C8,"11,73","4,32","0,06","0,74","0,02","0,75","0,02",4168,86,"-0,8","0,03","83,5","2,5",K7.0
220215093,C8,"12,35","7,37","0,08","0,27","0,01","0,27","0,01",3329,84,"-2,15","0,04","15,4","0,6",M4.5
220237354,C8,"12,22","5,51","0,12","0,52","0,02","0,55","0,02",3693,86,"-1,34","0,05","47,5","2,6",M1.5
220256064,C8,"11,95","4,45","0,13","0,72","0,03","0,73","0,02",4072,100,"-0,86","0,05",84,"5,1",K7.0
220265960,C8,"12,78","7,2","0,19","0,29","0,02","0,29","0,02",3252,89,"-2,08","0,08","20,6","1,8",M4.0
220266256,C8,"11,85","4,66","0,09","0,68","0,03","0,69","0,02",3956,87,"-0,95","0,04","70,7","2,9",M0.0
220287795,C8,"12,05","5,07","0,06","0,6","0,02","0,62","0,01",3806,84,"-1,14","0,03","59,1","1,6",M0.5
220308656,C8,"12,54","6,08","0,13","0,43","0,02","0,45","0,02",3465,86,"-1,59","0,05","38,6","2,3",M2.5
220323325,C8,"11,48","5,21","0,07","0,57","0,02","0,6","0,02",3755,87,"-1,21","0,03","41,2","1,4",M1.0
220350328,C8,"11,13","4,31","0,07","0,75","0,03","0,75","0,02",4093,88,"-0,8","0,03","67,8","2,4",K7.0
220412416,C8,"11,88","4,73","0,07","0,66","0,02","0,68","0,02",3936,85,"-0,99","0,03","69,6","2,3",M0.0
220460555,C8,"11,63","4,03","0,06","0,81","0,03","0,79","0,02",4247,87,"-0,66","0,03","100,4","2,9",K6.0
220467322,C8,"11,05","4,76","0,09","0,66","0,03","0,67","0,02",3942,92,-1,"0,04","44,7",2,M0.0
220475592,C8,"11,95","5,81","0,09","0,47","0,02","0,5","0,02",3548,90,"-1,47","0,04","35,7","1,6",M2.0
220501313,C8,"11,14","4,87","0,04","0,64","0,02","0,66","0,01",3866,82,"-1,05","0,02","44,4",1,M0.0
220581451,C8,"13,06","7,61","0,05","0,25","0,01","0,24","0,01",3174,80,"-2,26","0,02","18,1","0,4",M5.0
220604532,C8,"12,74","7,54","0,07","0,25","0,01","0,25","0,01",3150,83,"-2,23","0,03","16,5","0,6",M4.5
220611593,C8,"12,16","4,72","0,08","0,66","0,02","0,68","0,02",3940,87,"-0,98","0,04","77,7",3,M0.0
220623047,C8,"12,09","5,44","0,06","0,53","0,02","0,56","0,01",3628,85,"-1,31","0,03","48,1","1,4",M1.5
220624740,C8,"11,68","5,94","0,05","0,45","0,01","0,47","0,01",3541,81,"-1,53","0,02","27,2","0,6",M2.5
220676900,C8,"11,63","5,43","0,2","0,54","0,04","0,56","0,04",3689,105,"-1,31","0,08","38,9","3,7",M1.5
220677352,C8,"11,28","5,35","0,18","0,55","0,03","0,57","0,03",3701,99,"-1,27","0,07","34,8","2,9",M1.0
220677738,C8,"12,18","5,84","0,06","0,47","0,02","0,49","0,01",3630,84,"-1,49","0,03",38,"1,1",M2.0
220706618,C8,"11,94","5,83","0,05","0,47","0,02","0,49","0,01",3595,82,"-1,48","0,03",34,"0,9",M2.0
220732658,C8,"11,88","5,14","0,65","0,59","0,12","0,61","0,11",3781,255,"-1,17","0,26","54,3","16,2",M0.5
201077482,C10,"11,22","5,09","0,06","0,59","0,02","0,62","0,02",3774,82,"-1,15","0,03","39,6","1,2",M0.5
201128047,C10,"12,38","5,4","0,05","0,54","0,02","0,57","0,01",3691,82,"-1,29","0,03","53,8","1,4",M1.5
201223580,C10,"12,23","5,46","0,07","0,53","0,02","0,55","0,02",3718,83,"-1,32","0,03","49,2","1,7",M1.5
201288384,C10,"10,75","4,65","0,06","0,68","0,02","0,69","0,02",3985,85,"-0,95","0,03","43,3","1,3",M0.0
201296234,C10,"12,07","4,74","0,11","0,66","0,03","0,68","0,02",3920,91,"-0,99","0,05","75,6","3,8",M0.0
201416151,C10,"10,62","4,62","0,07","0,68","0,02","0,7","0,02",3938,97,"-0,94","0,03","40,4","1,4",M0.0
201431768,C10,"10,62","4,88","0,04","0,63","0,02","0,65","0,01",3829,86,"-1,06","0,02","34,8","0,8",M0.0
201506654,C10,"12,11","8,47","0,07","0,18","0,01","0,17",0,3012,87,"-2,63","0,03","6,5","0,2",M6.0
201530621,C10,"12,39","5,91","0,19","0,46","0,03","0,48","0,03",3501,93,"-1,52","0,08","41,4","3,7",M2.5
201659529,C10,"12,13","6,57","0,05","0,36","0,01","0,38","0,01",3355,80,"-1,81","0,03","23,5","0,6",M3.5
228711280,C10,"12,76","6,62","0,21","0,36","0,03","0,37","0,03",3375,91,"-1,83","0,08","30,5","2,9",M3.5
228726301,C10,"12,86","6,78","0,08","0,34","0,01","0,34","0,01",3300,82,"-1,9","0,03","29,5","1,1",M3.5
228750455,C10,"11,93","4,54","0,09","0,7","0,03","0,71","0,02",4026,92,"-0,9","0,04","79,2","3,5",K7.0
228757142,C10,"11,08","5,37","0,06","0,55","0,02","0,57","0,01",3688,83,"-1,28","0,03","33,4",1,M1.0
228782343,C10,"11,68","4,34","0,05","0,74","0,02","0,74","0,02",4108,82,"-0,81","0,02","82,7","2,1",K7.0
228808502,C10,"12,51","6,87","0,1","0,33","0,02","0,33","0,02",3305,82,"-1,94","0,04","23,3","1,1",M3.5
228857363,C10,"11,68","6,26","0,06","0,41","0,01","0,42","0,01",3388,81,"-1,67","0,03","31,7","0,9",M3.0
228858734,C10,"12,35","6,97","0,05","0,31","0,01","0,32","0,01",3278,81,"-1,98","0,03","19,8","0,5",M4.0
228861595,C10,"11,8","4,96","0,06","0,62","0,02","0,64","0,02",3816,82,"-1,09","0,03","57,2","1,7",M0.5
228864582,C10,"12,88","7,34","0,16","0,27","0,02","0,27","0,02",3197,85,"-2,14","0,07","19,8","1,5",M4.5
228885036,C10,"10,74","4,66","0,06","0,68","0,02","0,69","0,02",3955,84,"-0,96","0,03","43,2","1,4",M0.0
228901441,C10,"11,64","6,76","0,08","0,34","0,01","0,35","0,01",3369,84,"-1,89","0,04","16,5","0,7",M3.5
228972691,C10,"12,4","6,83","0,06","0,33","0,01","0,34","0,01",3376,83,"-1,92","0,03","21,7","0,7",M3.5
228982481,C10,"11,78","4,66","0,09","0,68","0,03","0,69","0,02",3935,89,"-0,96","0,04","70,3","3,2",M0.0
228992431,C10,"12,45","5,58","0,07","0,51","0,02","0,53","0,02",3637,82,"-1,37","0,03","51,1","1,8",M1.5
229043460,C10,"12,12","5,34","0,07","0,55","0,02","0,57","0,02",3705,85,"-1,27","0,03",50,"1,7",M1.0
229081889,C10,"12,22","5,52","0,07","0,52","0,02","0,54","0,02",3631,88,"-1,35","0,03","48,4","1,7",M1.5
229122988,C10,"12,3","5,43","0,06","0,54","0,02","0,56","0,01",3664,84,"-1,31","0,03","50,1","1,5",M1.5
229149393,C10,"11,41","4,55","0,09","0,7","0,03","0,71","0,02",4006,92,"-0,91","0,04","63,4","2,8",K7.0
223636719,C11,"10,56","4,89","0,04","0,63","0,02","0,65","0,01",3854,84,"-1,06","0,02","33,2","0,7",M0.0
224945540,C11,"13,37","6,15","0,05","0,42","0,01","0,44","0,01",3453,81,"-1,62","0,02","40,2",1,M2.5
225420708,C11,"10,3","5,03","1,52","0,6","0,29","0,63","0,22",3840,841,"-1,13","0,62","26,6","18,7",M0.5
226240066,C11,"12,54","6,48","0,05","0,38","0,01","0,39","0,01",3379,80,"-1,77","0,03","31,5","0,8",M3.0
229432919,C11,"11,05","4,58","0,06","0,69","0,02","0,7","0,02",3940,92,"-0,92","0,03","52,5","1,6",K7.0
230510723,C11,"11,79","5,54","0,05","0,52","0,02","0,54","0,01",3619,82,"-1,35","0,03","39,2",1,M1.5
230751558,C11,"12,65","6,04","0,06","0,44","0,02","0,46","0,01",3478,80,"-1,57","0,03","31,8",1,M2.5
231116934,C11,12,"5,27","0,05","0,56","0,02","0,59","0,01",3748,82,"-1,23","0,03","51,4","1,3",M1.0
231179480,C11,"10,48","4,75","0,07","0,66","0,02","0,68","0,02",3924,88,-1,"0,03","35,3","1,3",M0.0
231875643,C11,"12,38","6,85","0,05","0,33","0,01","0,33","0,01",3322,81,"-1,93","0,02","22,4","0,5",M3.5
232017621,C11,"13,18","7,45","0,05","0,26","0,01","0,26","0,01",3209,80,"-2,19","0,02","20,8","0,5",M4.5
232097582,C11,"11,15","6,18","0,21","0,42","0,03","0,43","0,03",3486,98,"-1,64","0,08","23,3","2,2",M2.5
233488533,C11,"12,95","7,29","0,05","0,28","0,01","0,28","0,01",3233,81,"-2,12","0,02","21,2","0,6",M4.5
234562190,C11,"9,6","5,25","0,07","0,57","0,02","0,59","0,02",3745,98,"-1,23","0,03","17,7","0,8",M1.0
234698848,C11,"11,46","3,3","0,13","0,97","0,04","0,89","0,02",4752,140,"-0,32","0,05","150,6",9,K5.0
235067510,C11,"12,12","6,11","0,13","0,43","0,02","0,45","0,02",3465,86,"-1,61","0,05","32,5",2,M2.5
235070897,C11,"11,06","4,55","0,06","0,7","0,02","0,71","0,02",3949,88,"-0,9","0,03",53,"1,6",K7.0
236285338,C11,"12,35","6,5","0,06","0,37","0,01","0,38","0,01",3392,82,"-1,78","0,03",27,"0,8",M3.0
236305079,C11,"11,33","5,22","0,06","0,57","0,02","0,6","0,01",3776,84,"-1,21","0,03","34,6","0,9",M1.0
236469315,C11,"11,41","5,67","0,15","0,5","0,03","0,52","0,03",3536,100,"-1,41","0,06","29,8","2,1",M2.0
237853022,C11,"11,09","4,14","0,05","0,78","0,03","0,78","0,02",4186,91,"-0,71","0,03","71,5","1,9",K6.0
240451481,C11,"9,73","4,5","0,04","0,71","0,02","0,72","0,01",4026,83,"-0,88","0,02","28,6","0,6",K7.0
242219524,C11,"10,72","4,92","0,04","0,63","0,02","0,65","0,01",3864,82,"-1,08","0,02","29,4","0,7",M0.0
245919787,C12,"10,33","5,36","0,04","0,55","0,02","0,57","0,01",3733,84,"-1,27","0,02","17,4","0,4",M1.0
245983914,C12,"11,97","4,97","0,04","0,62","0,02","0,64","0,01",3807,82,"-1,1","0,02","62,8","1,4",M0.5
246043232,C12,"11,67","6,13","0,32","0,43","0,05","0,44","0,05",3502,113,"-1,61","0,13","32,1","4,7",M2.5
246048874,C12,"11,97","5,13","0,09","0,59","0,02","0,61","0,02",3761,86,"-1,17","0,04","60,2","2,5",M0.5
246069579,C12,"11,19","4,61","0,06","0,69","0,02","0,7","0,02",3964,83,"-0,93","0,03","54,7","1,5",K7.0
246159774,C12,"12,1","5,27","0,04","0,56","0,02","0,59","0,01",3696,80,"-1,23","0,02","54,6","1,2",M1.0
246175846,C12,"11,21","5,26","0,04","0,56","0,02","0,59","0,01",3749,87,"-1,23","0,02","34,7","0,8",M1.0
246215873,C12,12,"5,25","0,04","0,57","0,02","0,59","0,01",3713,80,"-1,23","0,02","51,8","1,2",M1.0
246226675,C12,"11,92","6,82","0,08","0,33","0,01","0,34","0,01",3330,83,"-1,91","0,03","24,7","0,9",M3.5
246253313,C12,"12,82","6,29","0,12","0,4","0,02","0,42","0,02",3477,83,"-1,69","0,05","33,9","1,8",M3.0
246338131,C12,"12,25","5,08","0,04","0,6","0,02","0,62","0,01",3819,80,"-1,15","0,02",62,"1,4",M0.5
210491860,C13,"11,6","5,12","0,04","0,59","0,02","0,61","0,01",3754,82,"-1,16","0,02","47,1",1,M0.5
210596446,C13,12,"5,56","0,09","0,51","0,02","0,54","0,02",3633,84,"-1,36","0,04","41,5","1,7",M1.5
210651981,C13,"11,25","5,92","0,07","0,46","0,02","0,48","0,02",3549,83,"-1,52","0,03","22,8","0,8",M2.5
210653579,C13,"11,23","4,81","0,07","0,65","0,02","0,67","0,02",3914,84,"-1,03","0,03","48,1","1,7",M0.0
210721261,C13,"12,35","6,24","0,09","0,41","0,02","0,42","0,02",3467,81,"-1,66","0,04","30,8","1,3",M3.0
210741091,C13,"11,98","5,31","0,05","0,56","0,02","0,58","0,01",3716,80,"-1,25","0,03","47,7","1,2",M1.0
210840804,C13,"12,91","6,65","0,12","0,35","0,02","0,36","0,02",3424,83,"-1,84","0,05","30,4","1,7",M3.5
210889984,C13,"11,11","4,29","0,07","0,75","0,03","0,75","0,02",4132,87,"-0,79","0,03","53,5","1,9",K7.0
210895913,C13,"12,3","6,58","0,09","0,36","0,02","0,37","0,02",3413,85,"-1,81","0,04","21,2","0,9",M3.5
210915518,C13,"12,54","5,8","0,09","0,47","0,02","0,5","0,02",3588,82,"-1,47","0,04","37,3","1,5",M2.0
246625561,C13,"12,11","6,22","0,15","0,41","0,02","0,43","0,02",3526,89,"-1,65","0,06","27,7","1,9",M3.0
246732310,C13,"11,05","4,92","0,09","0,63","0,02","0,65","0,02",3858,89,"-1,08","0,04","40,6","1,8",M0.0
246774176,C13,"11,49","6,26","0,05","0,41","0,01","0,42","0,01",3395,83,"-1,67","0,02","21,9","0,5",M3.0
246806983,C13,"11,27","5,27","0,19","0,56","0,04","0,59","0,03",3773,99,"-1,23","0,08","36,8","3,2",M1.0
246807434,C13,"12,17","6,3","0,05","0,4","0,01","0,42","0,01",3397,80,"-1,69","0,02","29,1","0,7",M3.0
246812637,C13,"12,41","6,06","0,07","0,44","0,02","0,45","0,01",3461,81,"-1,58","0,03","37,6","1,3",M2.5
246818597,C13,"8,29","6,57","0,27","0,36","0,04","0,37","0,04",3330,188,"-1,81","0,11","3,4","0,4",M3.5
246849411,C13,"11,41","4,95","0,06","0,62","0,02","0,64","0,02",3871,82,"-1,09","0,03","44,4","1,4",M0.5
246862801,C13,"11,7","5,13","0,05","0,59","0,02","0,61","0,01",3794,755,"-1,17","0,03","48,3","1,2",M0.5
246931087,C13,"10,44","4,91","0,07","0,63","0,02","0,65","0,02",3843,88,"-1,07","0,03","31,1",1,M0.0
247003390,C13,"11,81","4,51","0,04","0,7","0,02","0,72","0,01",4034,81,"-0,89","0,02","76,1","1,7",K7.0
247080522,C13,"12,53","6,64","0,05","0,35","0,01","0,36","0,01",3333,80,"-1,84","0,03","27,4","0,7",M3.5
247094343,C13,"12,39","5,97","0,05","0,45","0,01","0,47","0,01",3529,80,"-1,54","0,02","39,3","0,9",M2.5
247122957,C13,"12,62","6,34","0,05","0,39","0,01","0,41","0,01",3444,81,"-1,71","0,03","32,7","0,9",M3.0
247130198,C13,"9,08","5,95","0,07","0,45","0,02","0,47","0,01",3546,83,"-1,53","0,03","8,6","0,3",M2.5
247164626,C13,"12,62","6,08","0,07","0,43","0,02","0,45","0,01",3478,81,"-1,59","0,03","40,6","1,5",M2.5
247191714,C13,"11,78","5,14","0,04","0,59","0,02","0,61","0,01",3750,82,"-1,17","0,02","51,3","1,1",M0.5
247238215,C13,"11,17","5,48","0,06","0,53","0,02","0,55","0,01",3665,82,"-1,33","0,03","30,6","0,8",M1.5
247269565,C13,"11,22","5,97","0,06","0,45","0,02","0,47","0,01",3491,87,"-1,55","0,03","23,4","0,7",M2.5
247282522,C13,"10,53","4,32","0,05","0,74","0,02","0,75","0,02",4101,84,"-0,8","0,03","52,3","1,4",K7.0
247289039,C13,"12,73","6,47","0,09","0,38","0,02","0,39","0,02",3417,81,"-1,76","0,04","25,6","1,1",M3.0
247309641,C13,"13,5","7,93","0,13","0,22","0,01","0,21","0,01",3094,84,"-2,4","0,05",13,"0,8",M5.5
247325547,C13,"11,48","5,53","0,08","0,52","0,02","0,54","0,02",3674,84,"-1,35","0,04",27,1,M1.5
247449449,C13,"12,36","6,55","0,14","0,37","0,02","0,38","0,02",3418,86,"-1,8","0,06","26,5","1,7",M3.5
247476655,C13,"11,78","4,98","0,07","0,61","0,02","0,64","0,02",3862,83,"-1,1","0,03","55,2","1,9",M0.5
247514292,C13,"12,05","4,8","0,04","0,65","0,02","0,67","0,01",3918,82,"-1,02","0,02","72,5","1,6",M0.0
247592661,C13,"11,94","6,29","0,05","0,4","0,01","0,42","0,01",3488,81,"-1,68","0,02","26,2","0,6",M3.0
247640857,C13,"11,45","4,88","0,06","0,63","0,02","0,65","0,02",3862,93,"-1,06","0,03","52,1","1,6",M0.0
247657761,C13,"11,35","4,64","0,04","0,68","0,02","0,7","0,01",3939,84,"-0,95","0,02",59,"1,3",M0.0
247679710,C13,"12,34","5,43","0,1","0,54","0,02","0,56","0,02",3665,86,"-1,31","0,04","48,4","2,3",M1.5
247725508,C13,"11,97","4,89","0,05","0,63","0,02","0,65","0,01",3896,81,"-1,06","0,03","65,8","1,7",M0.0
247730793,C13,"11,17","4,74","0,06","0,66","0,02","0,68","0,02",3894,100,"-0,99","0,03","48,4","1,4",M0.0
247734588,C13,"13,11","6,88","0,09","0,32","0,01","0,33","0,01",3302,81,"-1,94","0,04","26,8","1,1",M4.0
247744104,C13,"11,51","5,1","0,07","0,59","0,02","0,62","0,02",3786,83,"-1,16","0,03",46,"1,6",M0.5
247827225,C13,"12,36","5,4","0,1","0,54","0,02","0,57","0,02",3679,84,"-1,29","0,04","54,9","2,6",M1.5
247867687,C13,"10,77","5,8","0,08","0,48","0,02","0,5","0,02",3552,84,"-1,47","0,04","19,1","0,7",M2.0
247905449,C13,"11,88","5,28","0,06","0,56","0,02","0,59","0,02",3736,83,"-1,24","0,03","44,4","1,3",M1.0
247909274,C13,"12,52","6,74","0,05","0,34","0,01","0,35","0,01",3321,79,"-1,88","0,02","25,9","0,6",M3.5
247969864,C13,"11,15","4,44","0,04","0,72","0,02","0,73","0,01",4026,81,"-0,85","0,02","61,2","1,3",K7.0
247983269,C13,"12,58","6,1","0,05","0,43","0,01","0,45","0,01",3540,80,"-1,6","0,02","39,1","0,9",M2.5
247988033,C13,"12,08","4,82","0,06","0,65","0,02","0,66","0,02",3891,83,"-1,03","0,03","72,6","2,2",M0.0
248030935,C13,"10,38","4,89","0,05","0,63","0,02","0,65","0,01",3844,81,"-1,06","0,03","30,2","0,8",M0.0
248042336,C13,"11,81","6,16","0,05","0,42","0,01","0,44","0,01",3435,83,"-1,63","0,02","26,9","0,7",M2.5
201497396,C14,"10,1","4,43","0,04","0,72","0,02","0,73","0,01",4032,85,"-0,85","0,02","38,2","0,8",K7.0
201501470,C14,"12,61","7,37","0,06","0,27","0,01","0,27","0,01",3231,87,"-2,16","0,03","16,9","0,5",M4.5
