EPIC,CAMPAIGN,KP(mag),Abs_Mk,e_Abs_Mk,Radius(Rsun),e_Radius(Rsun),Mass(Msun),e_Mass(Sun),Teff(K),e_Teff(K),log(Luminosity(Lsun)),err_log(Luminosity(Lsun)),dist(pc),e_dist(pc),SpT
251282832,C16,"12,47","6,54","0,06","0,37","0,01","0,38","0,01",3404,83,"-1,79","0,03","27,5","0,8",M3.0
251341401,C16,"11,49","4,84","0,14","0,64","0,03","0,66","0,03",3882,98,"-1,04","0,06","53,3","3,6",M0.0
212405060,C17,"12,5","6,45","0,06","0,38","0,01","0,39","0,01",3427,80,"-1,75","0,03",29,"0,9",M3.0
212424143,C17,"12,01","6,76","0,08","0,34","0,01","0,35","0,01",3351,87,"-1,89","0,03","19,4","0,7",M3.5
212438743,C17,"11,06","5,07","0,05","0,6","0,02","0,62","0,01",3775,82,"-1,14","0,03","39,5",1,M0.5
212518629,C17,"12,46","6,89","0,06","0,32","0,01","0,33","0,01",3302,80,"-1,95","0,03","22,4","0,7",M4.0
212518679,C17,"12,16","5,11","0,08","0,59","0,02","0,61","0,02",3806,87,"-1,16","0,04","59,2","2,3",M0.5
212556566,C17,"12,86","7,49","0,06","0,26","0,01","0,25","0,01",3204,82,"-2,21","0,03","18,4","0,6",M4.5
212560714,C17,"11,27","4,74","0,06","0,66","0,02","0,68","0,02",3906,93,"-0,99","0,03","52,1","1,5",M0.0
212578572,C17,"12,06","4,68","0,09","0,67","0,03","0,69","0,02",3961,87,"-0,97","0,04",79,"3,2",M0.0
212610229,C17,"11,75","6,38","0,06","0,39","0,01","0,4","0,01",3394,81,"-1,72","0,03","30,9","0,9",M3.0
212611828,C17,"12,85","6,56","0,09","0,37","0,02","0,38","0,02",3343,84,"-1,8","0,04","32,4","1,5",M3.5
212652474,C17,12,"4,77","0,07","0,66","0,02","0,67","0,02",3907,87,-1,"0,03","71,3","2,4",M0.0
212662886,C17,"11,66","5,4","0,06","0,54","0,02","0,56","0,01",3717,89,"-1,29","0,03",40,"1,2",M1.5
212663959,C17,"12,23","6,46","0,05","0,38","0,01","0,39","0,01",3361,81,"-1,76","0,03","27,7","0,8",M3.0
212679181,C17,"12,01","5,94","0,08","0,45","0,02","0,47","0,02",3512,84,"-1,53","0,04","33,8","1,3",M2.5
212681560,C17,"11,91","6,27","0,05","0,4","0,01","0,42","0,01",3443,83,"-1,68","0,03","26,7","0,7",M3.0
212681564,C17,"11,82","8,69","0,31","0,16","0,02","0,16","0,01",2942,97,"-2,72","0,13","10,3","1,5",M6.5
212710520,C17,"11,72","4,84","0,07","0,64","0,02","0,66","0,02",3914,87,"-1,04","0,03","60,2",2,M0.0
212712577,C17,"10,86","4,68","0,05","0,67","0,02","0,69","0,01",3933,88,"-0,96","0,02","44,3","1,2",M0.0
212712579,C17,"10,88","4,68","0,05","0,67","0,02","0,69","0,02",3933,87,"-0,96","0,02","44,3","1,2",M0.0
212734783,C17,"11,6","6,34","0,13","0,4","0,02","0,41","0,02",3415,87,"-1,71","0,05",21,"1,3",M3.0
212776174,C17,"10,03","4,87","0,04","0,64","0,02","0,66","0,01",3855,87,"-1,05","0,02","27,4","0,7",M0.0
212807182,C17,"12,23","5,61","0,09","0,51","0,02","0,53","0,02",3583,83,"-1,39","0,04","46,7","1,9",M2.0
212810669,C17,"12,54","6,24","0,08","0,41","0,02","0,43","0,02",3445,84,"-1,66","0,04","35,9","1,5",M3.0
212840848,C17,"8,91","4,76","0,09","0,66","0,03","0,68","0,02",3919,99,-1,"0,04",18,"0,7",M0.0
212846068,C17,"11,24","5,09","0,09","0,6","0,02","0,62","0,02",3813,88,"-1,15","0,04",40,"1,8",M0.5
212874829,C17,"11,85","5,28","0,09","0,56","0,02","0,59","0,02",3742,88,"-1,24","0,04","47,8",2,M1.0
251512053,C17,"10,65","4,98","0,06","0,61","0,02","0,64","0,02",3870,85,"-1,1","0,03","32,3",1,M0.5
251540467,C17,"11,49","5,09","0,07","0,59","0,02","0,62","0,02",3817,91,"-1,15","0,03","43,4","1,5",M0.5
251550724,C17,"10,16","6,26","0,05","0,41","0,01","0,42","0,01",3448,86,"-1,67","0,03","11,8","0,3",M3.0
251567386,C17,"12,31","5,84","0,2","0,47","0,03","0,49","0,04",3570,94,"-1,49","0,08",41,"3,9",M2.0
251583820,C17,"12,44","6,42","0,08","0,38","0,02","0,4","0,01",3400,81,"-1,74","0,03","29,6","1,1",M3.0
251584738,C17,"10,91","5,42","0,06","0,54","0,02","0,56","0,01",3660,84,"-1,3","0,03","26,4","0,8",M1.5
211364964,C18,"12,01","4,62","0,07","0,68","0,02","0,7","0,02",3956,86,"-0,94","0,03","79,7","2,9",M0.0
211385897,C18,"11,67","4,6","0,05","0,69","0,02","0,7","0,02",3958,82,"-0,93","0,02","67,9","1,8",K7.0
211427097,C18,"11,73","4,05","0,19","0,8","0,05","0,79","0,03",4263,136,"-0,67","0,08","104,6","9,1",K6.0
211480655,C18,"12,21","6,89","0,15","0,32","0,02","0,33","0,02",3320,88,"-1,95","0,06","19,6","1,3",M4.0
211481688,C18,"11,81","4,76","0,33","0,66","0,07","0,67","0,06",3893,156,-1,"0,13","66,7",10,M0.0
211498244,C18,"11,88","5,32","0,06","0,55","0,02","0,58","0,01",3679,82,"-1,26","0,03","46,2","1,4",M1.0
211599658,C18,"12,02","5,44","0,1","0,53","0,02","0,56","0,02",3683,84,"-1,31","0,04",46,"2,2",M1.5
211642294,C18,"10,79","6,2","0,09","0,41","0,02","0,43","0,02",3422,88,"-1,65","0,04","16,7","0,7",M2.5
211788733,C18,"11,95","5,02","0,12","0,61","0,03","0,63","0,02",3785,88,"-1,12","0,05","60,1","3,2",M0.5
211845940,C18,"11,87","5,51","0,07","0,52","0,02","0,55","0,02",3643,84,"-1,34","0,03","40,5","1,4",M1.5
211889233,C18,"11,59","4,91","0,05","0,63","0,02","0,65","0,01",3883,81,"-1,07","0,03",53,"1,3",M0.0
211944670,C18,"10,55","7,11","0,08","0,3","0,01","0,3","0,01",3282,80,"-2,04","0,03","7,9","0,3",M4.0
211944676,C18,"9,9","7,11","0,08","0,3","0,01","0,3","0,01",3282,80,"-2,04","0,03","7,9","0,3",M4.0
211944856,C18,"11,02","9,25","0,31","0,13","0,01","0,15","0,01",2869,93,"-2,96","0,13","4,9","0,7",M7.5
211945363,C18,"12,35","6,73","0,06","0,34","0,01","0,35","0,01",3334,81,"-1,88","0,03","23,7","0,7",M3.5
211992989,C18,"12,8","6,2","0,05","0,41","0,01","0,43","0,01",3411,79,"-1,65","0,02","31,3","0,7",M2.5
212162615,C18,"12,61","6,47","0,06","0,38","0,01","0,39","0,01",3451,80,"-1,76","0,03","28,2","0,9",M3.0
212171836,C18,"11,65","5,43","0,08","0,53","0,02","0,56","0,02",3694,90,"-1,31","0,04","38,9","1,6",M1.5
246001292,C19,"11,86","4,26","0,05","0,76","0,02","0,76","0,02",4156,85,"-0,77","0,03","91,9","2,5",K7.0
246033148,C19,"12,17","7,14","0,07","0,29","0,01","0,3","0,01",3269,82,"-2,05","0,03",25,"0,9",M4.0
246079058,C19,"12,05","5,06","0,04","0,6","0,02","0,62","0,01",3820,80,"-1,14","0,02","57,2","1,3",M0.5
246093819,C19,"12,28","6,32","0,05","0,4","0,01","0,41","0,01",3457,80,"-1,7","0,02","28,7","0,7",M3.0
246132735,C19,"13,1","7,68","0,05","0,24","0,01","0,23","0,01",3186,80,"-2,29","0,02","17,6","0,4",M5.0
246141580,C19,"12,17","6,11","0,05","0,43","0,01","0,45","0,01",3470,80,"-1,61","0,02","32,2","0,7",M2.5
246179278,C19,"12,52","6,48","0,09","0,38","0,02","0,39","0,02",3418,81,"-1,77","0,04","28,8","1,2",M3.0
246182783,C19,"12,33","5,55","0,04","0,52","0,02","0,54","0,01",3605,81,"-1,36","0,02","49,9","1,1",M1.5
246191912,C19,"12,51","6,73","0,05","0,34","0,01","0,35","0,01",3363,80,"-1,88","0,02","24,7","0,6",M3.5
246238886,C19,"9,91","5,2","0,04","0,58","0,02","0,6","0,01",3769,84,"-1,2","0,02","20,3","0,5",M1.0
246301900,C19,"10,81","4,67","0,06","0,67","0,02","0,69","0,02",3932,90,"-0,96","0,03","44,9","1,4",M0.0
246310210,C19,"12,39","5,58","0,04","0,51","0,02","0,53","0,01",3631,80,"-1,37","0,02","50,4","1,1",M1.5
246333864,C19,"11,67","8,98","0,09","0,15","0,01","0,15",0,2956,82,"-2,85","0,04","6,9","0,3",M7.0
246364217,C19,"12,44","7,17","0,05","0,29","0,01","0,29","0,01",3236,81,"-2,07","0,02","18,4","0,4",M4.0
246374497,C19,"10,98","5,25","0,06","0,57","0,02","0,59","0,01",3692,85,"-1,22","0,03","32,7","0,9",M1.0
246378594,C19,"12,71","6,76","0,05","0,34","0,01","0,35","0,01",3360,81,"-1,89","0,02","26,9","0,6",M3.5
246379501,C19,"11,66","4,76","0,21","0,66","0,04","0,67","0,04",3966,122,-1,"0,08","55,4","5,3",M0.0
246419402,C19,"11,83","5,41","0,04","0,54","0,02","0,56","0,01",3611,81,"-1,3","0,02","42,9",1,M1.5
246424810,C19,"12,2","5,83","0,06","0,47","0,02","0,49","0,01",3589,82,"-1,48","0,03","38,2","1,1",M2.0
246446811,C19,"12,21","6,47","0,05","0,38","0,01","0,39","0,01",3390,81,"-1,76","0,03","25,7","0,7",M3.0
246461560,C19,"11,29","5,27","0,06","0,56","0,02","0,59","0,01",3725,86,"-1,23","0,03","37,1",1,M1.0
251718998,C19,"11,76","5,05","0,04","0,6","0,02","0,63","0,01",3868,91,"-1,13","0,02","51,5","1,1",M0.5
251728337,C19,"10,36","4,51","0,04","0,71","0,02","0,72","0,01",4031,83,"-0,89","0,02",40,"0,9",K7.0
