angDist,_RAJ2000,_DEJ2000,KIC,Kpmag,Q,Teff,E_Teff,e_Teff,logg,E_logg,e_logg,Mass,E_Mass,e_Mass,Prot,E_Prot,Sph,E_Sph,Fl1,DMK,Fl2,Fl3,Fl4,Fl5,M17,Simbad,_RA,_DE,_RAJ2000,_DEJ2000,KIC,Date,FNum,Per,r_Per,Amp,Ha,HaLum,FLum,PCat,Simbad,_RA,_DE
0.000000,291.44598,37.9495319,2713086,15.02, 1-17,3920,86,86,4.7,0.033,0.018,0.554,0.03,0.027,4.08,0.29,31282.8,1998.9,,-0.116,0,0,,1,M17,Simbad,291.44598,37.94953,291.44598,37.9495319,2713086,1415.23,515,4.14,Mc2014,43583,no data,,3.598E-5,2,Simbad,291.44598,37.94953
0.000000,286.04691,38.08839,2832720,15.208, 1-17,3211,38,19,5.151,0.063,0.077,0.146,0.044,0.022,24.71,2.36,3852.8,106.6,,,0,0,,0,M17,Simbad,286.04691,38.08839,286.04691,38.08839,2832720,1415.23,186,24.142,Mc2014,6816,no data,,4.595E-6,2,Simbad,286.04691,38.08839
0.000000,286.62314,38.0803411,2834564,14.509, 1-17,3530,42,47,4.876,0.035,0.031,0.39,0.036,0.04,21.36,1.68,3505.8,102.2,,,0,0,,0,M17,Simbad,286.62314,38.08034,286.62314,38.0803411,2834564,1415.23,197,21.875,Mc2014,6758,no data,,4.84E-6,2,Simbad,286.62314,38.08034
0.000000,286.64011,38.04509,2834612,15.575, 1-17,3713,55,55,4.798,0.035,0.028,0.469,0.026,0.031,13.33,1.05,4657.7,176.3,,,0,0,,0,M17,Simbad,286.64011,38.04509,286.64011,38.04509,2834612,1415.23,45,13.436,Mc2014,10111,no data,,9.058E-7,2,Simbad,286.64011,38.04509
0.000000,286.64944,38.0690689,2834637,15.619, 2-17,3236,42,25,5.09,0.045,0.045,0.172,0.034,0.022,23.05,1.6,8156.9,234.8,,,0,0,,0,M17,Simbad,286.64944,38.06907,286.64944,38.0690689,2834637,1291.93,331,23.227,Mc2014,14498,no data,,2.338E-5,2,Simbad,286.64944,38.06907
0.000000,294.1102,46.2786139,9593769,17.037, 7-14,3927,123,151,4.715,0.071,0.038,0.562,0.056,0.077,14.49,1.04,2251.6,119.1,,,0,0,,0,M17,Simbad,294.1102,46.27861,294.1102,46.2786139,9593769,534.59,33,1.376,This work,1441,no data,,1.118E-5,0,Simbad,294.1102,46.27861
0.000000,295.15039,46.2732389,9596620,15.537, 1-17,3823,68,76,4.854,0.065,0.058,0.436,0.042,0.063,28.38,1.94,2564.1,70.4,,,0,0,,0,M17,Simbad,295.15039,46.27324,295.15039,46.2732389,9596620,967.76,35,29.075,Mc2014,3987,no data,,1.174E-6,2,Simbad,295.15039,46.27324
0.000000,287.61542,38.22607,3102763,15.833, 1-17,3519,56,70,4.888,0.044,0.04,0.38,0.045,0.056,14.39,1.11,7073.3,253.9,,,0,0,,0,M17,Simbad,287.61542,38.22607,287.61542,38.22607,3102763,1415.23,39,14.561,Mc2014,13828,no data,,6.612E-7,2,Simbad,287.61542,38.22607
0.000000,287.92276,38.22205,3103752,15.64, 1-17,3388,45,45,4.939,0.05,0.036,0.301,0.051,0.042,4.75,0.33,6404.2,399.3,,,,,,0,M17,Simbad,287.92276,38.22205,287.92276,38.22205,3103752,1415.23,567,4.785,Mc2014,12105,no data,,4.321E-5,2,Simbad,287.92276,38.22205
0.000000,289.74576,38.20657,3109825,14.185, 1-17,3992,124,152,4.654,0.06,0.024,0.605,0.045,0.067,13.33,1.03,8199.0,292.6,,,0,0,,0,M17,Simbad,289.74576,38.20657,289.74576,38.20657,3109825,1415.23,383,13.318,Mc2014,15099,no data,,5.284E-6,2,Simbad,289.74576,38.20657
0.000000,282.16489,46.3088611,9631366,13.972, 1-17,3720,103,129,4.764,0.078,0.042,0.488,0.052,0.064,6.95,0.47,5582.1,277.6,,,,,,0,M17,Simbad,282.16489,46.30886,282.16489,46.3088611,9631366,959.38,344,7.045,Mc2014,10041,emission,4.597823E-5,1.389E-5,2,Simbad,282.16489,46.30886
0.000000,294.54572,38.2681389,3130391,15.848, 4-17,3917,78,78,4.688,0.033,0.018,0.569,0.03,0.028,1.21,0.08,6059.5,762.0,1,,1,0,,2,M17,Simbad,294.54572,38.26814,294.54572,38.2681389,3130391,923.42,85,1.228,Mc2014,16143,no data,,6.386E-6,1,Simbad,294.54572,38.26814
0.000000,286.54498,38.3268811,3219046,17.664, 6- 9,3000,0,0,5.191,0.0,0.0,0.117,0.0,0.0,0.49,,2081.7,810.9,,,,,,2,M17,Simbad,286.54498,38.32688,286.54498,38.3268811,3219046,343.55,25,0.493,This work,11924,no data,,3.012E-5,0,Simbad,286.54498,38.32688
0.000000,287.67975,46.3179019,9640417,16.592,17-17,3730,89,111,4.685,0.067,0.018,0.572,0.032,0.06,2.01,0.14,6835.5,694.0,,,0,0,,1,M17,Simbad,287.67975,46.3179,287.67975,46.3179019,9640417,31.75,17,2.049,This work,13666,no data,,1.986E-4,0,Simbad,287.67975,46.3179
