angDist,_RAJ2000,_DEJ2000,KIC,Kpmag,Q,Teff,E_Teff,e_Teff,logg,E_logg,e_logg,Mass,E_Mass,e_Mass,Prot,E_Prot,Sph,E_Sph,Fl1,DMK,Fl2,Fl3,Fl4,Fl5,M17,Simbad,_RA,_DE,_RAJ2000,_DEJ2000,OT,Name,RAJ2000,DEJ2000,CaH2,CaH3,TiO5,SNR,SpT,Gmag,Ksmag,W2mag,E(B-V),Dist,RVel,[M/H],Cl,MCat,Gaia,WISEA,2M
0.000036,299.10974,46.0271989,9486863,14.778," 1-17",4226,126,139,4.628,0.052,0.02,0.625,0.059,0.054,33.52,1.52,589.6,25.4,,,0,0,,0,M17,Simbad,299.10974,46.0272,299.10974,46.02719889,D,J195626.33+460137.9,299.10974,46.027199,0.864,0.93,0.893,219.0,dKs7.0,14.68,11.909,11.83,0.04,246,20,,m,0,Gaia,WISEA,2M
0.000036,286.57422,37.5170711,2142372,15.542," 1-17",3705,66,81,4.798,0.065,0.04,0.464,0.042,0.052,18.47,1.5,1233.2,47.7,,,0,0,,0,M17,Simbad,286.57422,37.51707,286.57422,37.51707111,D,J190617.81+373101.4,286.57422,37.517071,0.725,0.871,0.774,94.2,dMp0.0,15.446,12.411,12.279,0.03,259,-6,,m,0,Gaia,WISEA,2M
0.048349,290.49326,37.5439611,2156061,13.475," 1-17",4260,115,141,4.614,0.056,0.017,0.648,0.05,0.056,29.38,3.06,1642.6,48.6,,,,,,0,M17,Simbad,290.49326,37.54396,290.49325,37.54397194,D,J192158.38+373238.2,290.49325,37.543972,0.862,0.926,0.887,113.2,dKs7.0,13.379,10.727,10.656,0.03,299,-42,,m,1,Gaia,WISEA,2M
0.045930,292.07666,37.59774,2163101,15.225," 1-17",4112,74,82,4.713,0.021,0.036,0.577,0.031,0.034,25.05,2.07,2669.4,75.7,,,0,0,,0,M17,Simbad,292.07666,37.59774,292.07667,37.59775,D,J192818.40+373551.9,292.07667,37.59775,0.906,0.964,0.928,58.7,dKr7.0,15.118,12.485,12.392,0.05,358,-56,,m,0,Gaia,WISEA,2M
0.000000,287.9996,46.12183,9518295,13.183," 0-17",3828,120,147,4.708,0.084,0.03,0.542,0.056,0.084,17.96,1.64,477.4,17.3,,,0,0,,0,M17,Simbad,287.9996,46.12183,287.9996,46.12183,D,J191159.90+460718.5,287.9996,46.12183,0.72,0.85,0.744,19.3,dMs0.5,13.124,9.961,9.816,0.0,84,-11,,m,0,Gaia,WISEA,2M
0.000000,289.61282,46.10603,9521209,13.272," 0-17",4193,113,126,4.644,0.053,0.021,0.598,0.061,0.055,42.72,4.7,956.9,20.7,,,0,0,,0,M17,Simbad,289.61282,46.10603,289.61282,46.10603,D,J191827.07+460621.7,289.61282,46.10603,0.839,0.912,0.845,156.2,dKs7.0,13.201,10.522,10.524,0.02,154,-6,,m,0,Gaia,WISEA,2M
0.000000,286.8385,37.69669,2285598,11.973," 1-17",4081,109,121,4.668,0.058,0.027,0.573,0.055,0.055,37.19,5.95,900.1,20.0,,,0,0,,0,M17,Simbad,286.8385,37.69669,286.8385,37.69669,D,J190721.24+374148.0,286.8385,37.69669,0.8,0.896,0.828,230.8,dKs7.5,11.92,9.102,9.07,0.01,75,-14,,m,0,Gaia,WISEA,2M
0.053856,290.71021,37.6223181,2299707,15.18," 1-17",4270,129,142,4.609,0.053,0.018,0.664,0.052,0.052,45.47,7.63,806.5,20.7,,,,,,0,M17,Simbad,290.71021,37.62232,290.71021,37.62233306,D,J192250.44+373720.3,290.71021,37.622333,0.818,0.912,0.818,63.9,dKr7.5,,,,,,-57,,u,1,Gaia,WISEA,2M
0.000000,291.21249,37.61705,2301872,13.052," 0-17",4110,110,123,4.646,0.053,0.021,0.606,0.058,0.058,22.59,1.91,400.7,13.2,,,0,0,,0,M17,Simbad,291.21249,37.61705,291.21249,37.61705,D,J192450.99+373701.3,291.21249,37.61705,0.779,0.887,0.824,251.9,dKp7.5,13.129,9.928,9.73,0.01,93,-35,,m,0,Gaia,WISEA,2M
0.000036,291.42441,37.6302989,2302851,13.102," 0-17",4107,110,123,4.651,0.052,0.021,0.599,0.058,0.058,12.18,0.84,3499.8,131.6,,,,,,0,M17,Simbad,291.42441,37.6303,291.42441,37.63029889,D,J192541.85+373749.0,291.42441,37.630299,0.833,0.913,0.859,114.7,dKp7.0,13.114,10.238,10.149,0.03,138,-13,,m,0,Gaia,WISEA,2M
0.000000,297.09683,46.17131,9540467,11.964," 0-17",3919,121,148,4.679,0.07,0.025,0.57,0.051,0.07,8.38,0.58,8960.7,418.7,,,1,0,,0,M17,Simbad,297.09683,46.17131,297.09683,46.17131,D,J194823.23+461016.7,297.09683,46.17131,0.679,0.833,0.746,385.2,dMp0.5,11.873,8.806,8.667,0.02,92,-6,,m,0,Gaia,WISEA,2M
0.000144,291.45264,37.7401619,2443364,12.915," 1-17",4171,125,125,4.666,0.058,0.027,0.566,0.063,0.051,35.68,2.82,800.6,18.9,,,0,0,,0,M17,Simbad,291.45264,37.74016,291.45264,37.74016194,D,J192548.63+374424.5,291.45264,37.740162,0.867,0.929,0.889,185.8,dKs7.0,12.831,10.104,10.09,0.02,119,-34,,m,0,Gaia,WISEA,2M
0.094161,290.01035,37.88015,2568503,15.47," 1-17",4243,129,129,4.612,0.049,0.018,0.655,0.053,0.053,33.73,1.7,362.9,22.2,,,0,0,,0,M17,Simbad,290.01035,37.88015,290.01038,37.88013889,D,J192002.49+375248.5,290.01038,37.880139,0.833,0.904,0.836,41.3,dKr7.5,15.302,12.521,11.317,0.06,442,-21,,m,1,Gaia,WISEA,2M
0.049824,291.10846,37.8577919,2574201,15.501," 1-17",3687,65,80,4.813,0.048,0.036,0.459,0.032,0.044,29.59,2.13,2372.1,71.6,,,0,0,,0,M17,Simbad,291.10846,37.85779,291.10846,37.85777806,D,J192426.02+375128.0,291.10846,37.857778,0.679,0.838,0.756,49.6,dMp0.5,15.43,12.36,12.258,0.02,231,-16,,m,0,Gaia,WISEA,2M
0.000144,287.24066,46.2427219,9578520,13.572," 0-17",3483,51,51,4.905,0.045,0.036,0.358,0.04,0.049,38.23,3.62,398.8,10.6,,,,,,0,M17,Simbad,287.24066,46.24272,287.24066,46.24272194,D,J190857.75+461433.7,287.24066,46.242722,0.699,0.874,0.776,37.9,dMr0.0,13.829,10.338,10.098,0.01,92,7,,m,0,Gaia,WISEA,2M
0.000036,287.90851,46.2662811,9579672,14.279," 1-17",3587,43,48,4.809,0.039,0.025,0.449,0.032,0.032,35.68,1.76,707.5,18.7,,,0,0,,0,M17,Simbad,287.90851,46.26628,287.90851,46.26628111,D,J191138.04+461558.6,287.90851,46.266281,0.618,0.824,0.625,47.7,dMs1.5,14.292,10.973,10.843,0.01,133,-81,,m,0,Gaia,WISEA,2M
0.664321,285.77542,37.9227981,2692704,13.324," 1-17",3792,120,147,4.664,0.072,0.018,0.594,0.04,0.06,14.79,1.12,4760.2,161.6,,,0,0,,0,M17,Simbad,285.77542,37.9228,285.77545,37.92298111,D,J190306.10+375522.7,285.77545,37.922981,0.559,0.77,0.594,259.0,dMs2.0,13.294,9.769,9.506,0.0,62,,,m,0,Gaia,WISEA,2M
0.000036,289.88181,46.2189789,9583357,14.724," 1-17",3939,88,98,4.736,0.045,0.045,0.55,0.047,0.057,21.81,1.83,1016.8,33.7,,,0,0,,0,M17,Simbad,289.88181,46.21898,289.88181,46.21897889,D,J191931.63+461308.3,289.88181,46.218979,0.84,0.915,0.883,109.8,dKp7.0,14.663,11.849,11.786,0.02,255,5,,m,0,Gaia,WISEA,2M
0.000000,291.97751,46.2514,9588430,13.86," 1-17",3841,120,147,4.675,0.063,0.023,0.591,0.039,0.067,36.93,2.52,2745.2,60.6,,,0,0,,0,M17,Simbad,291.97751,46.2514,291.97751,46.2514,D,J192754.60+461505.0,291.97751,46.2514,0.627,0.821,0.642,130.6,dMr1.0,13.831,10.49,10.363,0.01,126,-12,,m,0,Gaia,WISEA,2M
0.014976,290.29175,37.9810789,2708172,13.814," 1-17",4267,128,128,4.637,0.049,0.021,0.622,0.062,0.056,38.5,3.38,1120.8,25.8,,,0,0,,0,M17,Simbad,290.29175,37.98108,290.29175,37.98108306,D,J192110.02+375851.8,290.29175,37.981083,0.882,0.943,0.886,53.9,dKr7.0,13.706,11.11,11.075,0.03,188,-15,,m,0,Gaia,WISEA,2M
0.000000,294.00116,46.2589,9593457,15.937," 2-17",3410,44,40,4.953,0.045,0.036,0.29,0.047,0.039,40.42,5.03,1053.7,31.2,,,0,0,,0,M17,Simbad,294.00116,46.2589,294.00116,46.2589,D,J193600.27+461532.0,294.00116,46.2589,0.588,0.798,0.615,51.4,dMs1.5,15.837,12.514,12.293,0.03,210,-22,,m,0,Gaia,WISEA,2M
0.000036,294.18472,46.2408411,9593950,14.557," 1-17",4171,124,137,4.666,0.059,0.027,0.566,0.062,0.051,55.59,7.02,330.2,9.0,,,1,0,,0,M17,Simbad,294.18472,46.24084,294.18472,46.24084111,D,J193644.33+461427.0,294.18472,46.240841,0.899,0.952,0.891,103.7,dKr7.0,14.423,11.772,11.776,0.04,356,-80,,m,0,Gaia,WISEA,2M
0.000036,286.62314,38.0803411,2834564,14.509," 1-17",3530,42,47,4.876,0.035,0.031,0.39,0.036,0.04,21.36,1.68,3505.8,102.2,,,0,0,,0,M17,Simbad,286.62314,38.08034,286.62314,38.08034111,D,J190629.55+380449.2,286.62314,38.080341,0.619,0.813,0.651,118.8,dMs1.0,14.447,11.156,10.975,0.01,123,-7,,m,0,Gaia,WISEA,2M
0.000000,296.97784,46.27037,9601977,14.808," 1-17",3905,87,97,4.736,0.049,0.04,0.538,0.051,0.056,33.52,2.35,1330.9,39.9,,,0,0,,0,M17,Simbad,296.97784,46.27037,296.97784,46.27037,D,J194754.68+461613.3,296.97784,46.27037,0.808,0.897,0.838,121.8,dKr7.5,14.665,11.839,11.872,0.03,277,-7,,m,0,Gaia,WISEA,2M
0.000000,297.16284,46.27631,9602658,15.802," 1-17",3745,122,133,4.819,0.077,0.056,0.438,0.058,0.065,19.79,1.6,2065.8,78.8,,,0,0,,0,M17,Simbad,297.16284,46.27631,297.16284,46.27631,D,J194839.08+461634.7,297.16284,46.27631,0.77,0.881,0.795,65.9,dKp7.5,15.69,12.765,12.744,0.04,351,-15,,m,0,Gaia,WISEA,2M
0.000036,285.87039,38.1918111,2970068,16.521,14-17,3889,122,150,4.676,0.067,0.022,0.582,0.046,0.07,21.66,1.9,679.4,41.4,,,0,0,,0,M17,Simbad,285.87039,38.19181,285.87039,38.19181111,D,J190328.89+381130.5,285.87039,38.191811,0.659,0.834,0.679,88.8,dMs1.0,16.53,13.091,12.783,0.05,376,-17,,m,0,Gaia,WISEA,2M
0.000144,286.33505,38.1743131,2971472,14.969," 6- 9",3193,0,0,5.113,0.0,0.0,0.159,0.0,0.0,66.57,6.82,3010.8,84.4,,,0,0,,0,M17,Simbad,286.33505,38.17431,286.33505,38.17431306,D,J190520.41+381027.5,286.33505,38.174313,0.526,0.761,0.515,322.6,dMs3.0,13.796,10.027,9.707,0.0,40,-4,,m,0,Gaia,WISEA,2M
0.049735,282.16489,46.3088611,9631366,13.972," 1-17",3720,103,129,4.764,0.078,0.042,0.488,0.052,0.064,6.95,0.47,5582.1,277.6,,,,,,0,M17,Simbad,282.16489,46.30886,282.16487,46.30886111,D,J184839.57+461831.8,282.16487,46.308861,0.705,0.872,0.724,191.8,dMs0.5,14.536,10.891,10.724,0.01,187,-61,,m,0,Gaia,WISEA,2M
0.049711,287.77682,46.3560711,9640579,15.086," 1-17",3679,73,92,4.862,0.06,0.06,0.434,0.045,0.068,29.38,2.09,1766.8,48.0,,,0,0,,0,M17,Simbad,287.77682,46.35607,287.77683,46.35608306,D,J191106.43+462121.8,287.77683,46.356083,0.718,0.881,0.796,11.9,dMs0.0,15.07,12.027,11.839,0.01,187,-11,,m,0,Gaia,WISEA,2M
0.000144,286.98627,38.2672081,3100994,14.434," 1-17",4279,115,128,4.617,0.052,0.02,0.641,0.056,0.056,31.93,3.08,2176.5,56.9,,,0,0,,0,M17,Simbad,286.98627,38.26721,286.98627,38.26720806,D,J190756.70+381601.9,286.98627,38.267208,0.86,0.931,0.881,211.9,dKs7.0,14.345,11.646,11.667,0.03,256,11,,m,0,Gaia,WISEA,2M
0.093385,291.29193,38.2280389,3115879,14.099," 1-17",4045,128,142,4.64,0.052,0.02,0.623,0.049,0.06,36.43,2.99,1651.4,38.2,,,,,,0,M17,Simbad,291.29193,38.22804,291.29196,38.22802806,D,J192510.06+381340.9,291.29196,38.228028,0.752,0.877,0.785,152.3,dMr0.0,,,,,,-71,,u,1,Gaia,WISEA,2M
0.282301,293.98569,46.3489689,9654411,14.187," 1-17",4103,110,135,4.65,0.056,0.02,0.598,0.058,0.058,39.86,3.98,385.5,11.0,,,,,,0,M17,Simbad,293.98569,46.34897,293.98579,46.34900611,D,J193556.59+462056.4,293.98579,46.349006,0.807,0.902,0.839,93.6,dKs7.5,14.046,11.236,11.159,0.04,242,26,,m,0,Gaia,WISEA,2M
0.028501,290.25711,38.3692511,3230797,14.65," 1-17",4080,81,81,4.642,0.038,0.013,0.612,0.038,0.028,36.43,2.79,763.6,23.1,,,1,0,,0,M17,Simbad,290.25711,38.36925,290.25712,38.36925,D,J192101.71+382209.3,290.25712,38.36925,0.869,0.924,0.864,124.9,dKr7.0,14.486,11.981,11.939,0.06,431,-32,,m,0,Gaia,WISEA,2M
0.000036,290.70911,38.3822711,3232334,13.904," 1-17",4085,141,156,4.653,0.056,0.024,0.594,0.057,0.063,41.85,4.93,420.4,11.0,,,0,0,,0,M17,Simbad,290.70911,38.38227,290.70911,38.38227111,D,J192250.18+382256.1,290.70911,38.382271,0.766,0.887,0.784,68.4,dMr0.0,13.87,10.973,10.965,0.02,181,-37,,m,0,Gaia,WISEA,2M
0.006984,283.117,46.40797,9693806,13.167," 0-17",3673,66,73,4.863,0.06,0.044,0.404,0.048,0.053,19.8,1.47,556.9,18.7,,,0,0,,0,M17,Simbad,283.117,46.40797,283.117,46.40797194,D,J185228.08+462428.6,283.117,46.407972,0.721,0.868,0.766,250.9,dMp0.5,13.139,10.097,9.937,0.01,84,-20,,m,0,Gaia,WISEA,2M
0.056439,288.41956,38.4867211,3331574,13.38," 3-16",3969,124,152,4.665,0.068,0.023,0.586,0.05,0.068,35.44,3.92,1174.2,39.4,,,0,0,,0,M17,Simbad,288.41956,38.48672,288.41954,38.48672194,D,J191340.69+382912.1,288.41954,38.486722,0.712,0.859,0.742,53.2,dMs0.5,13.324,10.318,10.202,0.02,108,-44,,m,0,Gaia,WISEA,2M
0.000036,287.15833,46.4752011,9700650,13.842," 1-17",3635,58,65,4.849,0.04,0.04,0.434,0.032,0.044,21.07,1.52,1585.5,47.8,,,,,,0,M17,Simbad,287.15833,46.4752,287.15833,46.47520111,D,J190837.99+462830.7,287.15833,46.475201,0.678,0.849,0.72,130.2,dMs0.5,,,,,,5,,u,0,Gaia,WISEA,2M
0.087202,291.63589,38.4080889,3342894,14.531," 1-17",4317,116,129,4.6,0.045,0.015,0.679,0.043,0.032,13.9,1.05,3442.0,124.6,,,0,0,,0,M17,Simbad,291.63589,38.40809,291.63592,38.40808306,D,J192632.62+382429.0,291.63592,38.408083,0.889,0.939,0.902,117.3,dKr7.0,14.427,11.821,11.825,0.03,277,-32,,m,0,Gaia,WISEA,2M
0.070973,291.95285,38.4064289,3344220,14.738," 1-17",3900,128,140,4.727,0.06,0.045,0.555,0.052,0.069,15.32,1.27,684.7,29.5,,,0,0,,0,M17,Simbad,291.95285,38.40643,291.95283,38.40641694,D,J192748.67+382423.1,291.95283,38.406417,0.818,0.911,0.871,117.8,sdKr7.0,14.61,11.787,11.551,0.05,309,-60,,m,0,Gaia,WISEA,2M
0.039996,292.0755,38.4729,3344747,14.618," 1-17",4038,125,153,4.661,0.063,0.023,0.587,0.06,0.066,28.38,2.09,1918.1,53.1,,,0,0,,0,M17,Simbad,292.0755,38.4729,292.0755,38.47288889,D,J192818.12+382822.4,292.0755,38.472889,0.722,0.828,0.735,25.5,dMr0.0,14.54,11.561,11.469,0.03,200,-21,,m,1,Gaia,WISEA,2M
0.061309,291.86285,46.42926,9710326,15.19," 1-17",3755,75,84,4.781,0.063,0.031,0.47,0.038,0.046,25.58,2.19,1384.9,42.3,,,0,0,0,0,M17,Simbad,291.86285,46.42926,291.86283,46.42925,D,J192727.07+462545.3,291.86283,46.42925,0.777,0.879,0.755,12.9,dMp0.0,15.11,12.093,11.922,0.01,205,8,,m,0,Gaia,WISEA,2M
0.058242,290.07611,38.5070689,3438817,14.033," 1-17",3648,73,91,4.761,0.036,0.04,0.543,0.028,0.047,36.68,2.98,1142.6,28.2,,,0,0,,0,M17,Simbad,290.07611,38.50707,290.07612,38.50708306,D,J192018.27+383025.4,290.07612,38.507083,0.686,0.86,0.7,86.8,dMs0.5,13.983,10.882,10.821,0.02,152,-49,,m,1,Gaia,WISEA,2M
0.000036,294.30115,46.4651911,9716286,14.444," 1-17",4167,112,137,4.654,0.056,0.024,0.587,0.059,0.053,14.9,1.25,2603.5,92.3,,,0,0,,0,M17,Simbad,294.30115,46.46519,294.30115,46.46519111,D,J193712.27+462754.6,294.30115,46.465191,0.854,0.922,0.887,123.3,dKs7.0,14.398,11.684,11.643,0.02,241,-10,,m,0,Gaia,WISEA,2M
0.040439,293.03137,38.51852,3449953,13.404," 0-17",3841,120,147,4.669,0.064,0.02,0.597,0.04,0.064,40.7,3.19,4149.2,85.3,,,0,0,,0,M17,Simbad,293.03137,38.51852,293.03138,38.51852806,D,J193207.53+383106.7,293.03138,38.518528,0.631,0.843,0.641,144.6,dMs1.5,13.395,10.05,9.875,0.01,77,-94,,m,1,Gaia,WISEA,2M
0.025753,297.78909,46.483665,9726699,12.738," 0-17",2661,0,0,5.283,0.0,0.0,0.094,0.0,0.0,0.58,0.04,5860.5,991.6,1,,,,,2,M17,Simbad,297.78909,46.48366,297.78908,46.48366694,D,J195109.37+462901.2,297.78908,46.483667,0.494,0.704,0.509,593.1,dMs3.5,,,,,,,,u,0,Gaia,WISEA,2M
0.000144,297.80862,46.4824219,9726785,14.795," 1-17",3665,65,73,4.831,0.045,0.04,0.45,0.032,0.046,39.31,2.69,1814.8,48.6,,,0,0,,0,M17,Simbad,297.80862,46.48242,297.80862,46.48242194,D,J195114.06+462856.7,297.80862,46.482422,0.674,0.858,0.733,29.4,dMs0.5,14.759,11.656,11.412,0.01,163,3,,m,0,Gaia,WISEA,2M
0.000036,298.06354,46.4483489,9727761,15.201," 1-17",3820,113,125,4.805,0.084,0.063,0.448,0.064,0.058,25.4,2.47,985.1,38.6,,,0,0,,0,M17,Simbad,298.06354,46.44835,298.06354,46.44834889,D,J195215.24+462654.0,298.06354,46.448349,0.865,0.927,0.886,77.0,dKs7.0,15.06,12.279,12.164,0.04,285,-25,,m,0,Gaia,WISEA,2M
0.000144,287.96185,38.6010281,3533109,14.99," 1-17",4180,124,137,4.652,0.053,0.025,0.593,0.059,0.053,21.21,2.06,646.6,25.0,,,0,0,,0,M17,Simbad,287.96185,38.60103,287.96185,38.60102806,D,J191150.84+383603.7,287.96185,38.601028,0.859,0.924,0.878,145.2,dKr7.0,14.821,12.137,12.173,0.05,314,-22,,m,0,Gaia,WISEA,2M
0.000036,287.10172,46.5028989,9761113,14.516," 1-17",3336,43,40,4.983,0.045,0.045,0.252,0.047,0.034,0.67,0.05,7663.4,1226.6,1,,0,0,,2,M17,Simbad,287.10172,46.5029,287.10172,46.50289889,D,J190824.41+463010.4,287.10172,46.502899,0.536,0.743,0.581,111.0,dMs2.5,14.481,10.965,10.716,0.0,95,4,,m,0,Gaia,WISEA,2M
0.073302,289.93506,38.64043,3539331,14.597," 1-17",4338,77,85,4.618,0.037,0.012,0.637,0.038,0.025,1.51,0.1,16834.9,1766.4,1,-0.089,0,0,,1,M17,Simbad,289.93506,38.64043,289.93508,38.64041694,D,J191944.41+383825.5,289.93508,38.640417,0.877,0.916,0.86,141.3,dKr7.0,14.563,11.969,11.835,0.03,319,-21,,m,0,Gaia,WISEA,2M
0.000144,288.67154,46.5696181,9763786,15.967," 1-17",3358,50,45,4.999,0.05,0.045,0.245,0.05,0.036,43.62,3.19,2318.7,54.7,,,0,0,,0,M17,Simbad,288.67154,46.56962,288.67154,46.56961806,D,J191441.16+463410.6,288.67154,46.569618,0.585,0.811,0.602,51.6,dMr1.5,15.884,12.482,12.287,0.01,227,-61,,m,0,Gaia,WISEA,2M
0.025056,292.97842,38.6705211,3550668,15.144," 1-17",3484,41,48,4.872,0.039,0.028,0.385,0.038,0.038,45.16,3.4,3381.8,69.7,,,0,0,,0,M17,Simbad,292.97842,38.67052,292.97842,38.67052806,D,J193154.82+384013.9,292.97842,38.670528,0.589,0.822,0.59,109.5,dMr1.5,15.066,11.707,11.53,0.03,168,-84,,m,1,Gaia,WISEA,2M
0.000036,286.95654,38.7724489,3631401,15.868," 1-17",4305,129,142,4.604,0.052,0.016,0.666,0.047,0.059,10.03,0.72,18487.8,765.1,,,,,,2,M17,Simbad,286.95654,38.77245,286.95654,38.77244889,D,J190749.56+384620.8,286.95654,38.772449,0.836,0.903,0.824,78.3,dKr7.0,15.653,12.957,12.936,0.1,1408,-17,,m,0,Gaia,WISEA,2M
0.000036,290.7236,38.7517811,3643000,13.539," 1-17",4035,139,153,4.664,0.063,0.027,0.583,0.059,0.066,18.73,1.34,1055.8,34.6,,,0,0,,0,M17,Simbad,290.7236,38.75178,290.7236,38.75178111,D,J192253.66+384506.4,290.7236,38.751781,0.772,0.883,0.824,231.2,dKp7.5,13.467,10.559,10.409,0.02,164,-3,,m,0,Gaia,WISEA,2M
