EPIC,CAMPAIGN,Prot,err_Prot,PMETHOD,PFLAG,Rper(%),err_Rper,SPH(ppm),Sflat(ppm),N_Flares,Nflare/day
249860217,C15,41.073,0.216,LS,?,0.443,0.062,1454.46,49.69,0,---
250122612,C15,41.073,1.327,LS,?,0.447,0.066,1379.45,78.01,1,0.012
201597919,C1,40.847,0.905,LS,Y,0.5,0.125,1755.07,102.96,4,0.05
201912552,C1,40.802,0.859,ACF,Y,1.215,0.087,3995.5,145.65,0,---
211892034,C5,40.434,2.25,LS,?,0.621,0.237,2309.94,66.86,0,---
228861595,C10,40.23,0.869,ACF,?,0.219,0.108,1380.92,48.3,0,---
235067510,C11,40.224,4.022,SINE,?,0.698,0.193,3107.24,71.31,1,0.014
206368165,C3,40.042,0.763,LS,?,0.194,0.323,622.98,123.11,0,---
230510723,C11,39.396,4.315,LS,?,0.867,0.13,2515.49,72.25,5,0.069
201431768,C10,38.988,1.247,SINE,?,0.37,0.022,1074.43,48.29,0,---
201568682,C1,38.935,1.464,LS,?,1.076,0.064,3892.25,94.52,0,---
201367065,C1,38.861,0.655,ACF,Y,0.2,0.152,779.95,86.52,0,---
220732658,C8,38.804,1.077,LS,Y,0.414,0.09,2115.11,97.77,0,---
211456957,C16,38.409,0.24,LS,Y,0.802,0.226,2555.51,45.98,0,---
220237354,C8,38.211,0.902,LS,?,1.416,0.066,7242.6,87.45,4,0.052
201675315,C1,38.126,1.349,ACF,Y,0.506,0.059,2551.77,61.75,2,0.025
246419402,C12,38.017,0.525,LS,?,0.54,0.403,1778.08,75.05,3,0.038
211599658,C18,37.962,0.108,ACF,?,0.295,0.041,950.82,72.53,0,---
211892034,C16,37.828,0.242,LS,Y,1.038,0.238,3548.31,54.04,0,---
224945540,C11,37.799,1.273,ACF,?,0.673,0.519,1941.81,108.37,1,0.014
201867138,C1,37.656,1.241,ACF,Y,0.563,0.058,2358.25,114.32,1,0.012
211427097,C5,37.411,1.152,LS,?,0.507,0.14,2302.77,71.72,0,---
212662886,C17,37.213,0.192,ACF,?,0.545,0.087,1721.54,63.6,2,0.031
237853022,C11,37.062,0.934,LS,?,0.315,0.144,1062.86,136.73,0,---
246159774,C12,36.614,1.324,ACF,?,0.649,2.332,2681.15,476.55,2,0.025
210915518,C13,36.246,1.242,ACF,Y,1.789,0.465,5135.82,91.38,1,0.013
247905449,C13,36.032,1.822,LS,?,0.684,0.24,2140.84,67.82,0,---
201719115,C1,36.001,0.649,ACF,Y,0.751,0.037,2551.8,74.44,2,0.025
232097582,C11,35.995,0.71,LS,Y,0.459,0.032,1419.21,46.82,1,0.014
212807182,C6,35.303,0.159,LS,Y,0.692,0.225,2369.74,118.16,1,0.013
202059192,C0,35.22,1.169,SINE,?,0.468,0.051,1844.13,105.82,0,---
211427097,C16,35.149,1.13,ACF,Y,0.387,0.098,1306.31,86.4,1,0.013
205952383,C3,35.017,0.563,LS,?,0.885,0.028,2821.74,48.23,1,0.015
248453031,C14,34.232,0.895,LS,Y,1.014,0.067,3415.96,50.69,6,0.077
212518679,C17,34.146,0.143,LS,?,0.604,0.041,1707.99,72.75,0,---
201717312,C1,34.142,0.84,ACF,Y,0.636,0.037,1961.9,100.3,0,---
210502828,C4,34.044,0.241,LS,?,0.374,0.101,1799.34,44.69,0,---
231116934,C11,34.036,0.141,LS,Y,1.343,0.186,3244.78,85.19,3,0.041
212679181,C6,33.869,0.241,LS,Y,0.599,0.154,2932.4,79.81,9,0.115
212681560,C6,33.869,0.828,LS,Y,0.644,0.089,2392.9,78.12,1,0.013
212681560,C17,33.686,0.514,LS,?,1.018,0.349,3635.25,83.06,5,0.076
246238886,C12,33.001,2.632,LS,?,0.312,0.235,910.22,45.85,4,0.051
212578572,C17,32.803,0.45,LS,Y,1,0.173,3165.85,104.36,0,---
220460555,C8,32.714,0.374,LS,Y,1.278,0.277,4295.59,58.63,0,---
212276489,C6,32.547,0.586,LS,?,0.729,0.185,3695.06,96.68,4,0.051
201506253,C1,32.384,0.64,ACF,?,1.397,0.039,4439.16,67.64,2,0.025
212679181,C17,32.378,1.126,LS,Y,1.313,0.341,3985.42,87.1,8,0.122
201481218,C1,32.037,0.386,ACF,Y,0.254,0.071,1659.18,54.99,2,0.025
211400445,C16,32.018,0.562,LS,Y,0.858,0.028,2590.53,52.91,3,0.039
201237257,C1,31.69,0.763,ACF,Y,2.523,0.067,7330.47,83,3,0.037
212610229,C17,31.561,0.182,LS,Y,0.679,0.679,2081.54,104.36,0,---
211489708,C16,31.512,2.105,ACF,Y,1.056,0.253,3241.73,75.73,0,---
247969864,C13,31.495,0.226,LS,Y,1.003,0.04,3297.3,50.96,0,---
249899499,C15,31.306,1.558,LS,?,0.696,0.248,1941.06,94.93,1,0.012
251512053,C17,31.168,0.924,LS,Y,0.517,0.054,1413.21,54.22,0,---
206181550,C3,31.099,0.967,LS,Y,0.667,0.049,2003.25,67.56,0,---
211516815,C16,30.755,0.98,ACF,Y,1.238,0.075,3715.82,73.9,2,0.026
247827225,C13,30.484,0.691,ACF,Y,0.703,0.122,2013.73,60.59,2,0.025
248432941,C14,30.479,0.057,LS,?,0.476,0.162,1468.13,37.05,20,0.256
212874829,C17,30.41,0.951,LS,Y,1.359,0.596,4289.12,94.78,7,0.107
249591902,C15,29.814,0.05,LS,Y,1.415,0.396,4697.11,99.56,5,0.058
251341401,C16,29.775,0.009,ACF,Y,1.384,0.14,4317.59,60.84,2,0.026
201705990,C14,29.754,0.13,LS,Y,1.424,0.07,4243.25,104.49,11,0.141
201719818,C1,29.687,0.753,ACF,?,0.523,0.023,1562.58,51.8,0,---
210778181,C4,29.687,1.179,ACF,Y,1.967,0.082,6084.7,53.42,4,0.058
220611593,C8,29.616,0.594,LS,?,0.43,0.065,1323.57,71.33,2,0.026
212712577,C17,29.509,0.22,ACF,?,0.675,0.106,1999.2,50.47,1,0.015
204080947,C2,29.299,0.359,ACF,Y,0.878,0.105,2961.49,176.89,0,---
229081889,C10,29.018,0.688,LS,Y,1.132,0.14,3094.03,85.15,5,0.072
247003390,C13,28.944,0.224,LS,?,0.845,0.097,2437.04,69.07,2,0.025
211364964,C5,28.798,1.264,LS,Y,0.462,0.092,1632.01,96.74,1,0.014
246179278,C12,28.491,0.157,LS,Y,5.351,1.885,15660.02,107.42,9,0.114
212652474,C17,28.026,0.44,LS,Y,0.893,0.062,2818.94,71.08,1,0.015
247514292,C13,27.973,0.177,LS,?,0.994,0.069,2847.29,74.88,1,0.013
247679710,C13,27.973,1.728,LS,Y,1.193,0.318,3520.04,71.36,0,---
229432919,C11,27.759,0.383,SINE,Y,1.852,0.682,3181.53,79.26,0,---
206249569,C3,27.661,0.826,LS,Y,0.434,0.031,1295.4,102.14,1,0.015
220209255,C8,27.652,0.067,LS,Y,0.625,0.128,2920.02,71.75,0,---
247640857,C13,27.583,1.025,ACF,Y,0.506,0.077,1503.78,58.73,0,---
212318785,C6,27.532,1.912,LS,?,1.666,0.647,4542.11,129.28,2,0.025
212560714,C6,27.532,0.251,LS,Y,0.361,0.018,1341.53,49.54,1,0.013
202059198,C0,27.307,0.465,LS,?,0.83,0.029,2802.33,80.49,1,0.03
246253313,C12,27.25,0.228,LS,?,2.797,1.084,7119.26,175.3,6,0.076
212712579,C17,27.114,2.711,LS,?,1.29,0.435,3428.65,51.15,0,---
211364964,C18,26.97,0.472,ACF,?,1.136,0.057,3696.16,103.02,1,0.02
212810669,C6,26.939,0.344,LS,Y,1.418,0.061,4405.41,147.85,6,0.076
210317378,C4,26.909,0.202,ACF,Y,1.857,0.124,5941.14,212.48,4,0.058
212560714,C17,26.321,1.514,ACF,Y,0.443,0.104,1273.27,52.29,1,0.015
248664460,C14,26.311,2.631,LS,?,0.836,0.26,2935.46,57.41,0,---
211736506,C16,26.137,0.063,ACF,?,0.227,0.021,666.34,28.67,0,---
212038542,C16,26.023,0.368,LS,Y,0.262,0.142,742.6,57.61,0,---
201611969,C1,25.992,0.85,LS,?,0.67,0.046,3811.8,71.6,7,0.087
246374497,C12,25.842,0.283,LS,Y,0.776,0.037,2632.06,48.28,8,0.102
201779048,C1,25.805,0.542,ACF,Y,0.225,0.058,1626.83,70.08,2,0.025
212810669,C17,25.721,0.081,LS,Y,1.35,0.6,4551.57,129.93,6,0.092
235070897,C11,25.485,0.948,SINE,?,0.378,0.109,1139.61,171.89,0,---
220350328,C8,24.895,0.263,LS,Y,0.655,0.095,3261.56,56.06,0,---
211006744,C4,24.414,1.165,LS,?,0.63,0.204,2665.03,81.76,0,---
229122988,C10,24.232,1.151,ACF,Y,0.988,0.138,3950.16,76.53,1,0.014
229043460,C10,23.946,0.348,ACF,Y,0.266,0.295,2111.45,66.89,1,0.014
242219524,C11,23.946,0.221,ACF,Y,0.64,0.241,1631.2,42.36,1,0.014
210500658,C4,23.783,2.378,ACF,Y,0.368,0.154,2377.19,63.04,0,---
210434433,C4,23.278,0.638,LS,Y,0.996,0.26,6318.15,86.83,3,0.044
201077482,C10,23.118,0.702,LS,Y,0.173,0.054,841.74,45.51,2,0.029
205489894,C2,22.802,1.247,ACF,?,0.545,0.033,2345.86,125.74,1,0.013
205040974,C2,22.373,0.99,ACF,?,0.596,0.062,3064.5,106.66,1,0.013
249338840,C15,22.354,0.081,LS,Y,0.569,0.062,1780.87,66.12,6,0.069
210757663,C4,21.923,0.226,ACF,Y,0.575,0.032,1796.75,80.91,0,---
210693497,C4,21.854,0.821,LS,Y,0.906,0.165,7189.58,92.93,0,---
247094343,C13,21.672,0.393,LS,Y,1.959,0.044,6336.66,111.51,9,0.113
203846654,C2,21.515,0.547,ACF,Y,0.556,0.079,2142,100.11,0,---
210941195,C4,21.474,0.35,ACF,Y,0.522,0.033,1568.84,101.74,1,0.015
248505702,C14,21.453,0.209,ACF,Y,0.41,0.09,1215.92,41.01,2,0.026
210580056,C4,21.433,0.224,ACF,Y,0.619,0.024,2631.37,31.56,0,---
201703096,C14,21.367,0.216,LS,Y,1.261,0.164,3793.91,87.13,1,0.013
247164626,C13,21.303,0.318,LS,Y,1.874,0.597,5514.76,137.12,11,0.138
220501313,C8,21.296,0.051,LS,?,0.335,0.021,1113.28,48.84,1,0.013
205030726,C2,21.065,1.666,ACF,?,0.196,0.092,1211.07,98.17,1,0.013
211036776,C4,20.738,0.151,ACF,Y,1.875,0.059,6248.6,113.75,5,0.073
247238215,C13,20.636,0.154,ACF,Y,2.012,0.3,5947.41,55.5,4,0.05
250022000,C15,20.52,1.001,LS,Y,0.279,0.077,775.21,70.93,1,0.012
212171836,C18,20.452,0.132,ACF,Y,2.467,0.523,7022.2,101.81,2,0.041
247867687,C13,20.433,0.18,LS,Y,0.451,0.146,1522.3,50.37,1,0.013
211845940,C16,20.185,0.41,LS,Y,0.801,0.114,2861,66.95,1,0.013
248804846,C14,20.161,0.33,LS,Y,0.67,0.018,2198.63,46.19,0,---
212846068,C17,19.972,0.053,LS,Y,0.415,0.015,1334.66,47.9,0,---
211616023,C16,19.833,1.214,LS,Y,0.639,0.167,2002.47,61.99,0,---
203354308,C2,19.819,0.371,ACF,Y,0.364,0.049,1280.9,66.12,0,---
247988033,C13,19.787,0.249,LS,Y,0.357,0.101,1364.37,98.88,0,---
214269391,C7,19.734,0.373,LS,Y,0.158,0.036,831.53,44.03,0,---
204536344,C2,19.594,0.032,ACF,Y,0.625,0.026,2365.36,48.62,1,0.013
211630934,C16,19.524,0.294,LS,Y,0.288,0.04,869.23,32.52,0,---
205536237,C2,19.431,0.345,ACF,Y,0.653,0.128,2093.06,77.62,0,---
212807182,C17,19.393,1.024,ACF,?,0.924,0.281,2816.11,32.49,5,0.076
246048874,C12,19.272,0.029,LS,Y,0.677,0.255,2373.47,97.51,3,0.038
212171836,C5,19.263,0.349,LS,?,0.526,0.234,5380.82,92.39,1,0.014
247449449,C13,19.18,0.254,LS,Y,2.054,4.267,6232.58,200.39,13,0.163
247725508,C13,19.034,0.193,LS,Y,0.446,0.312,1419.88,73.17,1,0.013
220624740,C8,19.026,0.031,LS,Y,1.024,0.078,3956.7,65.38,3,0.039
202059193,C0,19.012,1.046,LS,?,0.403,0.071,1161.41,111.35,0,---
211481688,C5,18.828,0.975,LS,?,0.091,0.114,1681.07,94.14,0,---
248849485,C14,18.658,0.056,LS,Y,0.95,0.173,3074.94,83.62,1,0.013
246175846,C12,18.557,0.269,LS,Y,1.359,0.159,4703.55,148.47,1,0.013
212776174,C17,18.474,0.091,ACF,Y,0.585,0.044,1778.07,32.49,5,0.076
228885036,C10,18.366,0.191,LS,Y,0.262,0.017,857.71,31.89,0,---
212776174,C6,18.015,0.369,LS,Y,0.619,0.06,2193.01,46.15,1,0.013
203099398,C2,17.919,0.845,ACF,Y,0.453,0.033,1995.35,76.23,0,---
210439387,C4,17.809,0.615,LS,Y,0.611,0.109,2475.13,104.09,0,---
202059210,C0,17.796,0.41,LS,?,1.252,0.144,4813.81,126.01,0,---
250053801,C15,17.673,0.924,ACF,Y,1.237,0.317,3608.72,87.28,0,---
246001292,C12,17.641,0.483,LS,Y,0.832,0.258,2276.77,61.55,1,0.013
228782343,C10,17.469,1.214,LS,Y,0.649,0.024,1704.4,48.93,0,---
202059231,C0,17.425,0.772,LS,?,3.005,0.379,11047.2,284.24,10,0.302
246001292,C19,17.304,---,SINE,?,0.423,0.154,1449.13,101.81,2,0.277
216848322,C7,17.28,0.131,LS,Y,0.013,0.577,3308.46,81.52,4,0.049
210408563,C4,17.08,0.648,LS,Y,0.519,0.081,4520.66,127.5,5,0.073
220256064,C8,16.964,0.034,LS,Y,0.851,0.027,2432.81,61.06,1,0.013
220706618,C8,16.964,0.044,LS,Y,0.65,5.189,2025.77,226.82,13,0.169
250034723,C15,16.913,0.057,LS,Y,1.185,0.17,3640.67,54.17,1,0.012
220677738,C8,16.737,0.671,LS,Y,1.379,0.519,5170.08,352.68,7,0.091
210393283,C4,16.626,0.093,LS,?,0.117,0.119,868.5,93.86,0,---
220323325,C8,16.625,0.114,LS,Y,1.252,0.046,4158.88,78.16,0,---
249655888,C15,16.305,0.293,ACF,Y,0.694,0.285,2165.3,99.56,5,0.058
247744104,C13,16.304,0.107,LS,Y,0.986,0.079,3268.97,60.59,2,0.025
247325547,C13,16.163,1.616,SINE,?,0.414,0.079,1403.84,42.69,3,0.038
211107998,C4,16.121,0.205,ACF,Y,2.045,0.23,10639.78,240.95,14,0.204
206007536,C3,16.095,0.503,LS,Y,0.555,0.026,3745.53,52.55,2,0.03
206435478,C3,16.056,0.517,LS,Y,0.445,0.069,4304.13,52.28,5,0.076
246862801,C13,15.992,0.08,LS,Y,1.797,0.214,5966.6,70.57,3,0.038
201128047,C10,15.222,0.592,ACF,Y,0.195,0.228,909.09,97.04,3,0.043
202059207,C0,15.16,0.371,ACF,Y,0.088,0.035,386.84,74.76,1,0.03
210653579,C13,15.122,0.072,LS,Y,2.021,0.125,6929.34,69.39,2,0.025
201717791,C1,15.048,0.401,LS,Y,0.117,0.038,511.28,97.92,1,0.012
210491860,C13,15.031,0.158,LS,Y,1.214,0.221,3509.81,103.61,0,---
247269565,C13,14.852,0.166,LS,Y,1.894,0.635,5872.04,417.07,17,0.214
211890761,C16,14.785,0.054,SINE,?,2.87,1.635,10181.54,62.57,2,0.026
251540467,C17,14.632,0.844,ACF,?,1.14,0.414,3491.52,61.23,1,0.015
246069579,C12,14.588,0.03,ACF,?,0.4,0.129,1201.79,54.22,2,0.025
205599283,C2,14.568,0.684,ACF,Y,0.503,0.025,1900.6,95.69,0,---
204963027,C2,14.527,0.028,ACF,Y,1.216,0.043,3459.27,92.83,1,0.013
210596446,C13,14.424,0.222,LS,Y,1.611,0.3,5031.62,289.07,22,0.276
210535241,C4,14.257,0.141,LS,?,0.179,0.029,2057.37,65.84,2,0.029
212270936,C6,13.606,0.045,LS,Y,1.351,0.161,5146.36,205.88,8,0.102
201497396,C14,13.59,0.173,LS,Y,0.707,0.073,2200.24,88.97,14,0.18
246310210,C19,13.281,---,SINE,?,0.156,0.041,463.71,1258.3,0,---
246732310,C13,12.933,0.047,LS,Y,3.944,0.149,12737.03,167.02,28,0.352
211111803,C4,12.931,0.086,LS,Y,3.731,0.319,15252.23,260.41,11,0.16
234562190,C11,12.929,0.366,LS,Y,35.569,15.033,8394.74,1846.5,1,0.014
201416151,C10,12.443,0.145,ACF,Y,3.855,0.178,11877.33,116.27,7,0.101
220467322,C8,12.058,0.316,LS,Y,1.408,0.277,5896.78,168.31,5,0.065
210707811,C4,11.774,0.225,LS,Y,2.242,0.99,13538.16,339.43,15,0.219
211385897,C5,11.752,0.428,LS,Y,0.492,0.127,6621.2,173.66,13,0.176
210741091,C13,11.721,0.415,LS,?,3.093,0.475,10251.5,251.51,10,0.126
201482319,C1,11.676,0.111,LS,Y,4.829,6.489,17064.27,937.5,21,0.262
246419402,C19,11.64,---,SINE,?,0.068,0.108,233,57.47,0,---
210889984,C13,11.558,0.042,LS,Y,2.651,0.294,7902.54,83.84,4,0.05
246461560,C19,11.416,---,SINE,?,0.132,0.079,418.42,58.17,0,---
210579749,C4,11.245,0.081,LS,Y,0.726,0.078,2916.13,43.9,9,0.131
201296234,C10,11.108,0.776,LS,?,0.09,0.057,915.28,925.26,3,0.043
246226675,C12,11.079,0.172,LS,Y,0.785,5.679,2021.98,470.67,17,0.216
211385897,C18,10.992,0.259,ACF,Y,1.053,0.166,3041.7,166.66,13,0.264
210741091,C4,10.95,0.01,LS,Y,5.533,0.488,18099.59,262.56,12,0.175
211889233,C16,10.823,0.065,LS,Y,4.19,0.457,11751.77,206.19,5,0.064
246931087,C13,10.809,0.139,LS,Y,1.81,0.406,5246.94,122.14,12,0.151
245983914,C12,10.792,0.366,LS,Y,0.795,0.284,2783.65,992.98,6,0.076
211889233,C18,10.699,0.05,LS,Y,1.926,0.16,5984.82,205.97,4,0.081
251728337,C19,10.534,---,SINE,?,0.192,0.006,720.72,37.75,0,---
211889233,C5,10.517,0.056,LS,Y,1.742,0.515,5339.64,192.7,9,0.122
206262223,C3,9.725,0.015,ACF,Y,4.362,7.527,14531.49,1120.8,17,0.254
206262336,C3,9.705,0.018,ACF,Y,4.368,7.586,14522.43,1122.57,14,0.21
220677352,C8,9.678,0.052,LS,Y,0.23,0.024,1258.07,67.8,1,0.013
201364753,C1,9.291,0.141,LS,Y,0.369,0.021,2224.37,69.31,0,---
247476655,C13,9.149,0.033,LS,Y,3.325,0.199,10025.91,171.03,14,0.176
246079058,C19,9.005,---,SINE,?,0.061,0.038,185.44,1095.1,1,0.138
246379501,C19,8.699,---,SINE,?,0.876,0.03,2979.04,57.47,0,---
228726301,C10,8.278,0.035,LS,Y,0.317,0.127,2258.41,143.76,6,0.087
203124214,C2,7.985,0.005,LS,?,0.1,0.035,1170.01,73.04,0,---
202059204,C0,7.887,0.07,ACF,Y,2.513,0.126,8494.33,321.07,3,0.091
228750455,C10,6.721,0.154,LS,Y,0.339,0.047,2028.18,88.5,2,0.029
212424143,C17,6.631,0.003,LS,Y,2.09,0.576,7104.03,712.79,6,0.092
212424143,C6,6.603,0.039,LS,Y,1.4,0.861,5546.13,1045.63,13,0.166
246818597,C13,6.518,0.62,ACF,?,1.343,0.524,4009.26,61.62,4,0.05
247289039,C13,5.95,0.039,LS,Y,2.04,0.423,6379.93,711.76,26,0.327
245919787,C12,5.649,0.016,LS,Y,9.418,2.379,28749.44,992.98,6,0.076
201288384,C10,5.413,0.017,LS,Y,5.389,0.466,16968.86,925.26,3,0.043
202059229,C0,5.006,0.025,ACF,Y,2.401,0.247,7218.59,568.42,4,0.121
246033148,C19,4.662,0.084,LS,?,3.182,0.62,9970.91,1095.1,1,0.139
246301900,C19,4.503,0.153,LS,?,9.654,0.334,34565.9,1258.3,0,---
246301900,C12,4.461,0.118,LS,Y,5.532,0.238,16088.18,721.45,3,0.038
212162615,C16,4.138,0.013,SINE,Y,6.875,18.529,20911.89,2704.29,6,0.077
212162615,C18,4.123,0.011,LS,Y,6.417,0.687,19592.82,1699.92,9,0.183
212162615,C5,4.122,0.002,LS,Y,3.754,0.33,13741.3,897.37,16,0.217
